f Amp Fase
10000000000.0 -11.200325597129538 -143.513473079
10000500050.005001 -11.192250494560351 -156.087902861
10001000100.01 -11.191368286163248 -168.663819693
10001500150.015001 -11.182649671347566 178.797801974
10002000200.020002 -11.170354150628139 166.281582659
10002500250.025003 -11.16362598228605 153.640083679
10003000300.030003 -11.148267667028662 141.004898183
10003500350.035004 -11.147208556330941 128.319635416
10004000400.040005 -11.136387030471386 115.606674176
10004500450.045004 -11.13060299664464 102.879110287
10005000500.050005 -11.12955627500547 90.1785978634
10005500550.055006 -11.121158472678873 77.4191729997
10006000600.060005 -11.128036720818207 64.6615145941
10006500650.065006 -11.126994956162473 51.8797154621
10007000700.070007 -11.13848205990835 39.0972474563
10007500750.075008 -11.139956066965002 26.3394946505
10008000800.080008 -11.148097082390807 13.575016016
10008500850.085009 -11.158308127981595 0.829826348865
10009000900.09001 -11.164060295726404 -11.9115676785
10009500950.095009 -11.177094086596078 -24.6018816432
10010001000.10001 -11.183445288101696 -37.2927934831
10010501050.105011 -11.19590990328984 -49.9800905241
10011001100.11001 -11.206285585817682 -62.667971591
10011501150.115011 -11.21714951476504 -75.3659728101
10012001200.120012 -11.23596209734685 -88.1165722757
10012501250.125013 -11.250131758038101 -100.812009463
10013001300.130013 -11.272186174143224 -113.482866678
10013501350.135014 -11.294324021872896 -126.087355387
10014001400.140015 -11.302937610017576 -138.712685201
10014501450.145014 -11.329162430042834 -151.317452965
10015001500.150015 -11.333644063397173 -163.908282464
10015501550.155016 -11.359570611841608 -176.556212354
10016001600.160015 -11.363052939132249 170.820386908
10016501650.165016 -11.382267735201161 158.129017189
10017001700.170017 -11.401511037982583 145.474949712
10017501750.175018 -11.407838097432982 132.83378356
10018001800.180017 -11.429291982725587 120.166125832
10018501850.185019 -11.44075067544199 107.553757364
10019001900.19002 -11.462192453265025 94.8989383555
10019501950.195019 -11.481033454718228 82.2457116713
10020002000.20002 -11.497106446827008 69.5979534438
10020502050.20502 -11.521148188591436 56.9270307971
10021002100.21002 -11.537016260647961 44.2446892205
10021502150.215021 -11.563433694402539 31.5471881145
10022002200.220022 -11.59350344200699 18.8909031923
10022502250.225023 -11.61617787537093 6.25162589058
10023002300.230022 -11.648422002483564 -6.36278105635
10023502350.235023 -11.668652844437695 -18.9708093971
10024002400.240025 -11.703410206293952 -31.5808723217
10024502450.245024 -11.725783230521865 -44.226095055
10025002500.250025 -11.756366095426767 -56.876978977
10025502550.255026 -11.785583779809306 -69.5123839043
10026002600.260027 -11.814171132830104 -82.1050471007
10026502650.265026 -11.852454278735472 -94.6864712655
10027002700.270027 -11.880720136184266 -107.242675939
10027502750.275028 -11.919495896846108 -119.753568647
10028002800.280027 -11.950388061130797 -132.227260529
10028502850.285028 -11.984020329596268 -144.692848467
10029002900.29003 -12.020204323851086 -157.145152918
10029502950.295029 -12.046218624887914 -169.60524874
10030003000.30003 -12.082100735445762 177.987726069
10030503050.30503 -12.114289483337316 165.518715383
10031003100.310032 -12.139633651663171 153.069610782
10031503150.315031 -12.173409923777243 140.64171069
10032003200.320032 -12.200417053593204 128.219355527
10032503250.325033 -12.235191448027319 115.751190773
10033003300.330032 -12.260264338182541 103.305370497
10033503350.335033 -12.292788570467275 90.861169285
10034003400.340034 -12.324341190596531 78.4668729566
10034503450.345034 -12.345962883918126 66.0457512658
10035003500.350035 -12.382056434475802 53.6467497646
10035503550.355036 -12.40652426020505 41.2958187258
10036003600.360037 -12.439733319263313 28.9342147145
10036503650.365036 -12.462920627920882 16.5837568254
10037003700.370037 -12.493170458116161 4.23178213754
10037503750.375038 -12.522203992305617 -8.13265852891
10038003800.380037 -12.547014059625013 -20.4669861166
10038503850.385038 -12.580371338748114 -32.8017456609
10039003900.39004 -12.60682120783491 -45.1267215048
10039503950.395039 -12.629903887148783 -57.4491482009
10040004000.40004 -12.657151211863626 -69.7608525411
10040504050.40504 -12.676574714948249 -82.125179162
10041004100.410042 -12.708368170409761 -94.4268803218
10041504150.415041 -12.725787809160884 -106.757516889
10042004200.420042 -12.75362172821713 -119.099753693
10042504250.425043 -12.774919681834785 -131.42673151
10043004300.430042 -12.787954974895985 -143.69929186
10043504350.435043 -12.813041871897983 -155.977376179
10044004400.440044 -12.821894314943913 -168.277627458
10044504450.445044 -12.841049894932253 179.403276267
10045004500.450045 -12.849829642720941 167.036602922
10045504550.455046 -12.869205767094698 154.644705547
10046004600.460047 -12.890426515282059 142.274083883
10046504650.465046 -12.906015669748728 129.904561298
10047004700.470047 -12.930057425545243 117.585596696
10047504750.475048 -12.94469559295454 105.235573019
10048004800.480047 -12.958959600093486 92.8813538113
