f Amp Fase
2900000000.0 -5.81979214851269 177.240869184
2900020002.0002 -5.822316902748254 176.775137176
2900040004.0004 -5.8175338475634035 176.270984161
2900060006.0006 -5.825328489046601 175.811694092
2900080008.0008 -5.822892269193732 175.268913599
2900100010.001 -5.820186883331927 174.79983311
2900120012.0012 -5.817366194675645 174.262825767
2900140014.0014 -5.821157613168322 173.787851833
2900160016.0016003 -5.823926997384577 173.286576477
2900180018.0018 -5.820819508504609 172.808125223
2900200020.0020003 -5.824588743328059 172.297524562
2900220022.0022 -5.820479692712998 171.835570624
2900240024.0024004 -5.821000483232296 171.326503329
2900260026.0026 -5.822394018896854 170.854182292
2900280028.0028005 -5.820913551520927 170.337467122
2900300030.0030003 -5.823216355596484 169.830333769
2900320032.0032005 -5.8266532336572325 169.354333856
2900340034.0034003 -5.820936099191611 168.841158449
2900360036.0036006 -5.824094568219611 168.384839137
2900380038.0038004 -5.823039033512418 167.869784495
2900400040.004 -5.824658650537832 167.394216094
2900420042.0042005 -5.8293485179499225 166.884895196
2900440044.0044003 -5.821569998788606 166.384416648
2900460046.0046005 -5.822451814613638 165.871190379
2900480048.0048003 -5.826259651052621 165.403608687
2900500050.0050006 -5.826134754158083 164.917450001
2900520052.0052004 -5.82597432677648 164.414712413
2900540054.0054007 -5.824182974337777 163.945017362
2900560056.0056005 -5.82473071582092 163.454763256
2900580058.0058007 -5.824777428674496 162.92656296
2900600060.0060005 -5.8253561784130605 162.452833589
2900620062.006201 -5.823885267676404 161.952153102
2900640064.0064006 -5.825756958093743 161.470208716
2900660066.006601 -5.829444929483037 160.918051884
2900680068.0068007 -5.827551993103174 160.466830136
2900700070.007001 -5.8297478019249205 159.962967414
2900720072.0072007 -5.826926930650302 159.455823319
2900740074.0074005 -5.826567938791633 158.969258515
2900760076.007601 -5.833429115300712 158.522067146
2900780078.0078006 -5.828625988286329 158.038604065
2900800080.008001 -5.8290598058969 157.537519205
2900820082.0082006 -5.826051374694937 157.038747038
2900840084.008401 -5.826484784083696 156.507304345
2900860086.0086007 -5.835907078284437 156.057641403
2900880088.008801 -5.830012477297783 155.549931933
2900900090.009001 -5.828961411277355 155.046357276
2900920092.009201 -5.832327276757913 154.56364066
2900940094.009401 -5.830892898647029 154.030870725
2900960096.009601 -5.832093656202117 153.555992233
2900980098.009801 -5.828293600611083 153.091116789
2901000100.010001 -5.83202105068576 152.574571704
2901020102.010201 -5.832631053087405 152.114048953
2901040104.0104012 -5.828112414255742 151.624039259
2901060106.010601 -5.830818251005986 151.082427256
2901080108.0108013 -5.83089278082854 150.589417654
2901100110.011001 -5.832379998365459 150.119829038
2901120112.011201 -5.833548777333012 149.619201417
2901140114.011401 -5.829729792239276 149.097107949
2901160116.011601 -5.836291660347697 148.658989694
2901180118.0118012 -5.830647422768473 148.140342325
2901200120.012001 -5.836387273408205 147.656528226
2901220122.0122013 -5.834486313632561 147.1417472
2901240124.012401 -5.831294660723282 146.668694776
2901260126.0126014 -5.834564778304645 146.192832148
2901280128.012801 -5.835066441407923 145.691344333
