f Amp Fase
1000000000.0 -21.189857263566093 -121.725093077
1000900090.0090009 -21.153661746270487 -142.821977137
1001800180.0180018 -21.189537611402773 -164.004423965
1002700270.0270027 -21.14753584478811 175.382945818
1003600360.0360036 -21.19953341530531 154.200263362
1004500450.0450045 -21.13099905998186 131.726160775
1005400540.0540054 -21.18837798281795 110.681715929
1006300630.0630063 -21.203260600407443 89.2735192812
1007200720.0720072 -21.111423725983546 67.7630626143
1008100810.0810081 -21.155840225280297 47.2897704491
1009000900.090009 -21.02315956671505 25.4562428854
1009900990.0990099 -21.0367257271584 2.67050159055
1010801080.1080108 -21.041261084553717 -18.1295929901
1011701170.1170117 -21.002360142784973 -39.4259362211
1012601260.1260126 -21.036247696824685 -60.8174866286
1013501350.1350135 -21.020522143959997 -82.8690538319
1014401440.1440144 -21.026268452432078 -104.832215631
1015301530.1530153 -20.93912226048129 -125.602611485
1016201620.1620162 -20.89552898743395 -147.100668045
1017101710.171017 -20.936844089285906 -168.755840568
1018001800.180018 -20.953826775454157 167.60430768
1018901890.1890188 -20.908091614609845 147.748445039
1019801980.1980197 -20.826732212425334 125.861681913
1020702070.2070208 -20.82162816849367 103.38696578
1021602160.2160217 -20.857386159264465 81.6312138091
1022502250.2250226 -20.827936056217354 59.9673205098
1023402340.2340235 -20.85472143115628 38.9010270461
1024302430.2430243 -20.824166402006984 17.7570481801
1025202520.2520252 -20.79638227081501 -4.95275381633
1026102610.2610261 -20.933572528378065 -26.36093775
1027002700.270027 -20.82053178950226 -48.5695724297
1027902790.2790279 -20.86182838617947 -69.3221865769
1028802880.2880288 -20.797410096553524 -91.9781893771
1029702970.2970297 -20.740260233314448 -113.052093688
1030603060.3060306 -20.88432042627245 -136.207871015
1031503150.3150315 -20.807021120008528 -157.031489647
1032403240.3240324 -20.80262758248353 -179.289389333
1033303330.3330333 -20.812653061205033 159.492013527
1034203420.3420342 -20.77938570080179 136.70625993
1035103510.3510351 -20.71085323206422 115.662244282
1036003600.360036 -20.787648751906048 93.2729230904
1036903690.3690369 -20.8032689549438 71.9042175716
1037803780.3780378 -20.763214864079636 49.7993715047
1038703870.3870387 -20.774743792221674 28.1618248104
1039603960.3960396 -20.76617495749435 6.98159431765
1040504050.4050405 -20.776518712627883 -15.9668357505
1041404140.4140414 -20.714189426077873 -37.3039353143
1042304230.4230423 -20.71079798164436 -58.6379264413
1043204320.4320432 -20.686546292323204 -80.1931577441
1044104410.4410441 -20.77067065916183 -101.730914481
1045004500.450045 -20.692833390318288 -123.417238081
1045904590.4590459 -20.717452337806584 -144.765636362
1046804680.4680468 -20.672470556398505 -166.362812535
1047704770.4770477 -20.645632552119103 171.374263331
1048604860.4860486 -20.610638519620544 149.183340142
1049504950.4950495 -20.634526130144664 128.171275724
1050405040.5040504 -20.61910060661451 106.355280275
1051305130.5130513 -20.693325561850013 85.3556139946
1052205220.5220522 -20.557814295363173 64.1194633068
1053105310.5310531 -20.53485073328325 41.3183988162
1054005400.540054 -20.500858544953342 18.9049060174
1054905490.5490549 -20.504237229484055 -2.44481402907
1055805580.5580558 -20.479048423062704 -24.1218839442
1056705670.5670567 -20.532052714673405 -46.0318477486
1057605760.5760576 -20.403651038316212 -67.2602219941
1058505850.5850585 -20.414494874609133 -90.2842289471
1059405940.5940595 -20.401809318429557 -111.017348697
1060306030.6030602 -20.37544127023526 -134.179642719
1061206120.6120613 -20.454126746305107 -155.206585278
1062106210.6210622 -20.355636006198697 -178.125931509
