f Amp Fase
5000000000.0 -6.516496661098898 126.805588034
5000020002.0002 -6.5198316611069735 126.154886584
5000040004.0004 -6.510602581266845 125.782159926
5000060006.0006 -6.522201912507505 125.385008495
5000080008.0008 -6.524117079685308 124.809630684
5000100010.001 -6.513622261445842 124.289284825
5000120012.0012 -6.518502593248466 123.893161117
5000140014.0014 -6.524341179179739 123.214583929
5000160016.0016 -6.526751164384649 122.750773914
5000180018.001801 -6.525751289076799 122.318747645
5000200020.002 -6.530370361193257 121.742135519
5000220022.0022 -6.536854674025565 121.361349954
5000240024.0024 -6.528822487272766 120.762327887
5000260026.002601 -6.518767342084997 120.349630612
5000280028.0028 -6.537006267333699 119.736057012
5000300030.003 -6.53452835181211 119.453175771
5000320032.003201 -6.533177720961163 118.775020517
5000340034.003401 -6.529467278467859 118.31358118
5000360036.0036 -6.528494988433252 117.742966921
5000380038.0038 -6.5348322479114564 117.323084886
5000400040.004001 -6.531778042801638 116.823575236
5000420042.0042 -6.529883694897655 116.343599236
5000440044.0044 -6.530060165164162 115.872808247
5000460046.004601 -6.531057671245412 115.423157083
5000480048.004801 -6.534826950072898 114.936556606
5000500050.005 -6.539999336046902 114.401553819
5000520052.0052 -6.54034088239082 113.933627874
5000540054.005401 -6.535017903674262 113.25271469
5000560056.005601 -6.537076890930686 112.890286487
5000580058.0058 -6.551570928001476 112.435330445
5000600060.0060005 -6.535151178750331 111.828528884
5000620062.006201 -6.5457993960243535 111.341547494
5000640064.006401 -6.547341246285318 110.858118204
5000660066.0066 -6.538751635019125 110.361448182
5000680068.006801 -6.554349263180281 109.951621069
5000700070.007001 -6.552118709820476 109.397259962
5000720072.007201 -6.552206192986373 109.050586805
5000740074.0074005 -6.536146038555594 108.374481353
5000760076.007601 -6.54775539424573 107.93706286
5000780078.007801 -6.55983432040448 107.37683261
5000800080.008 -6.558733591710531 107.002495743
5000820082.008201 -6.5393309521837075 106.393173168
5000840084.008401 -6.550003671204035 105.976623013
5000860086.008601 -6.555568362560478 105.546952522
5000880088.0088005 -6.55906738235868 104.932607009
5000900090.009001 -6.557402310316039 104.508688376
5000920092.009201 -6.552783263531011 104.068988371
5000940094.009401 -6.554249225854517 103.511007509
5000960096.009601 -6.556775754079855 103.033009663
5000980098.009801 -6.558652062848056 102.492122265
5001000100.010001 -6.554667795818361 102.017712382
5001020102.010201 -6.560265939003868 101.503454979
5001040104.010401 -6.551303582563084 100.944066869
5001060106.010601 -6.565253675118383 100.502095688
5001080108.010801 -6.56053244903196 100.034835733
5001100110.011001 -6.5596475886203915 99.4058887848
5001120112.011201 -6.558493408476648 99.007295458
5001140114.011401 -6.561185980849031 98.4657595767
5001160116.011601 -6.578496439041242 98.1568255785
5001180118.011801 -6.568924759585782 97.6155363299
5001200120.012001 -6.568304634086455 97.0954931806
5001220122.012201 -6.569132292484597 96.5849747608
5001240124.012402 -6.561191278988671 96.0124637683
5001260126.012601 -6.571332951947686 95.6434932927
5001280128.012801 -6.574224111659062 95.1008183087
5001300130.013001 -6.570130436287842 94.5778811577
5001320132.013202 -6.575716994632979 94.1294974508
5001340134.013401 -6.573491078389287 93.5462593791
5001360136.013601 -6.5840515112747315 93.0984834192
5001380138.013802 -6.587099033766157 92.6505770012
5001400140.014002 -6.582142206982546 92.0654751493
5001420142.014201 -6.581102969115253 91.7144859451
5001440144.014401 -6.57486093880419 91.1230024058
5001460146.014602 -6.581377970879466 90.5794126908
5001480148.014801 -6.578639339983833 90.1635967353
5001500150.015001 -6.584353593376372 89.6919325132
5001520152.015202 -6.57703840159556 89.1305893173
5001540154.015402 -6.588776588808837 88.6249856512
5001560156.015601 -6.5831374407332435 88.1259243308
5001580158.015801 -6.573313078143257 87.7374803802
5001600160.016002 -6.5878185364893325 87.1593176866
5001620162.016202 -6.591055426396006 86.7353341497
5001640164.016401 -6.583748701982142 86.1441108067
5001660166.016602 -6.585129789667105 85.7280587632
5001680168.016802 -6.593077512357262 85.2859441687
5001700170.017002 -6.5907012449638245 84.6890862259
5001720172.017201 -6.58895041498087 84.2303670386
5001740174.017402 -6.583926757655787 83.6738604136
5001760176.017602 -6.59350322139253 83.2300587038
5001780178.017802 -6.590997949805981 82.7807062434
5001800180.018002 -6.584528263930923 82.1649375036
5001820182.018202 -6.603332791377695 81.8121999491
5001840184.018402 -6.598149569080541 81.2660924809
5001860186.018601 -6.592352682506515 80.7020304293
5001880188.018802 -6.589841850706013 80.1181863189
5001900190.019002 -6.602708902113369 79.8427919545
5001920192.019202 -6.599575076788109 79.2582604519
5001940194.019402 -6.600781621833422 78.6785800338
5001960196.019602 -6.597217898272396 78.3367656309
5001980198.019802 -6.59467594669999 77.7515344193
5002000200.020002 -6.601906186838015 77.3342905268
5002020202.020202 -6.601847374575348 76.8464888761
5002040204.020402 -6.597756894924246 76.2135775813
5002060206.020602 -6.597510294997307 75.8567239378
5002080208.0208025 -6.6018193596157895 75.3727601237
5002100210.021002 -6.607585069070625 74.8113252215
5002120212.021202 -6.605820112371022 74.3637771299
5002140214.021402 -6.60931843916287 73.8247855808
5002160216.021603 -6.605153029297456 73.3815111406
5002180218.021802 -6.611555043230647 72.9062511657
5002200220.022002 -6.608949683447354 72.4296242686
5002220222.0222025 -6.60873696741983 71.7953618578
5002240224.022402 -6.610732507360366 71.3719986965
5002260226.022602 -6.619650553101247 71.0009142046
5002280228.022802 -6.617539118700909 70.4668119705
5002300230.023003 -6.618257782537176 69.8973570497
5002320232.023202 -6.618858069693866 69.420038388
5002340234.023402 -6.614575792763104 68.8661259264
5002360236.0236025 -6.617253013878263 68.3821961581
5002380238.023803 -6.615936196959583 67.9198054246
5002400240.024002 -6.619966191709619 67.410782083
5002420242.024202 -6.618515499635453 67.1389751295
5002440244.024403 -6.624285763113953 66.6276309054
5002460246.024603 -6.625509453626086 65.933519996
5002480248.024802 -6.623778005239228 65.4863123933
5002500250.0250025 -6.621107690657518 64.9202849346
5002520252.025203 -6.628292496292479 64.4679799518
5002540254.025402 -6.620194178658653 64.0305205596
5002560256.025602 -6.616813688109532 63.388865524
5002580258.025803 -6.623327935775026 63.0613763652
5002600260.026003 -6.626574595894813 62.4183611293
5002620262.026202 -6.628197983411522 62.0247572451
5002640264.026402 -6.633230820049835 61.5415636395
5002660266.026603 -6.624901543432307 61.0463718883
5002680268.026803 -6.633527645945342 60.4963504236
5002700270.027002 -6.625523663539642 60.0788258782
5002720272.027203 -6.625179058249186 59.5346819209
5002740274.027403 -6.634689041424032 59.1409873652
5002760276.027603 -6.626356131234332 58.7342723777
5002780278.027802 -6.632812852898344 58.0384638649
5002800280.028003 -6.642993366552645 57.5839982741
5002820282.028203 -6.640247995751637 57.017696454
5002840284.028403 -6.633767122704587 56.514787053
5002860286.028603 -6.641597046000718 56.0517172574
5002880288.028803 -6.638383181077642 55.5545806613
5002900290.029003 -6.637335027295021 55.1153653968
5002920292.029202 -6.635084373969354 54.5311804624
5002940294.029403 -6.6476520014299485 54.1871584494
5002960296.029603 -6.641026557239828 53.6970546771
5002980298.029803 -6.644525511215718 53.0837901675
5003000300.030003 -6.647604157347509 52.6505567924
5003020302.030203 -6.643939557843127 52.0153342888
5003040304.030403 -6.645778038608224 51.5705678852
5003060306.030603 -6.6485552361702265 51.2009513792
5003080308.030803 -6.645529915347569 50.6755680525
5003100310.031003 -6.660030162113623 50.0327303527
5003120312.031203 -6.6450211969595046 49.7172763694
5003140314.031404 -6.6510177610529695 49.1788019777
5003160316.031603 -6.658134762688563 48.7979325626
5003180318.031803 -6.659613166431662 48.1021126616
5003200320.032003 -6.6518531316436125 47.759509632
5003220322.032204 -6.659506370769524 47.2172507705
5003240324.032403 -6.659728562110122 46.5950072104
5003260326.032603 -6.652404256358492 46.1782603489
5003280328.032804 -6.655373837466094 45.8295370294
5003300330.033003 -6.659522890029286 45.2157433306
5003320332.033203 -6.654644492233144 44.7610393386
5003340334.033403 -6.653617589511787 44.2834215273
5003360336.033604 -6.663459351157424 43.7512640157
5003380338.033803 -6.6637405629245485 43.2606046604
5003400340.034003 -6.669885998216176 42.834469584
5003420342.034204 -6.666802106468089 42.3182189789
5003440344.034404 -6.669546654069656 41.8183450482
5003460346.034603 -6.66294384267601 41.3621695803
5003480348.034803 -6.671655469579614 40.8336550773
5003500350.035004 -6.662338613107227 40.3225720487
5003520352.035204 -6.674692891610104 39.7518033931
5003540354.035403 -6.670849870455874 39.2326861363
5003560356.035604 -6.67439084637641 38.9527561626
5003580358.035804 -6.671973601729792 38.2431891725
5003600360.036004 -6.671609426737028 37.9105558539
5003620362.036203 -6.6711292544421985 37.3298751815
5003640364.036404 -6.678599845651303 36.8430581516
5003660366.036604 -6.679410546466258 36.404386191
5003680368.036803 -6.677227969688394 35.9032037474
5003700370.0370035 -6.6755467897862895 35.3036190103
5003720372.037204 -6.67965637844302 34.798679906
5003740374.037404 -6.673754040566405 34.2965790439
5003760376.037603 -6.684264261537852 33.9417332673
5003780378.037804 -6.672790109043408 33.4788699453
5003800380.038004 -6.676477589369226 32.8732092382
5003820382.038204 -6.683071568031047 32.4084678569
5003840384.0384035 -6.684662060612389 31.9118610741
5003860386.038604 -6.679070615179117 31.3909159769
5003880388.038804 -6.6892744017796515 30.9610142577
5003900390.039004 -6.680676808078502 30.4966116221
5003920392.039204 -6.6872225651873 29.9608264189
5003940394.039404 -6.679802826499156 29.3895613129
5003960396.039604 -6.679656414007445 28.8695969494
5003980398.0398035 -6.6843078333989485 28.4476293457
5004000400.040004 -6.685109578546734 28.0086621688
5004020402.040204 -6.690076559250219 27.5156523498
5004040404.040404 -6.687681983659211 26.9985569235
5004060406.040604 -6.680176372177855 26.4291332103
5004080408.040804 -6.682120798489023 26.020157276
5004100410.041004 -6.688868095404322 25.5220525937
5004120412.041204 -6.6891172900822795 24.9685515582
5004140414.041404 -6.693499612804237 24.5636677397
5004160416.041604 -6.699299540521585 23.9575617411
