f Amp Fase
5800000000.0 -5.950345705726373 112.422834979
5800020002.0002 -5.946958617950463 112.005086692
5800040004.0004 -5.946256579726864 111.498331835
5800060006.0006 -5.945028920757858 110.909727564
5800080008.0008 -5.952587819778907 110.382115377
5800100010.001 -5.949602562253052 109.958603569
5800120012.0012 -5.943896535106142 109.530165626
5800140014.0014 -5.9491329503169315 108.991462263
5800160016.0016 -5.945754062559145 108.464027191
5800180018.001801 -5.953751725769654 108.060534193
5800200020.002 -5.954367002777508 107.539353969
5800220022.0022 -5.952766012774581 107.078386332
5800240024.0024 -5.946059575926764 106.573616832
5800260026.002601 -5.951642815076811 106.057791287
5800280028.0028 -5.9552839404239535 105.56868563
5800300030.003 -5.95403113561381 105.101578863
5800320032.003201 -5.941570698688695 104.625787785
5800340034.003401 -5.951912491910656 104.086670057
5800360036.0036 -5.94930530256932 103.605772377
5800380038.0038 -5.950214667151923 103.163963654
5800400040.004001 -5.955685365436531 102.608306872
5800420042.0042 -5.951182827968873 102.18152245
5800440044.0044 -5.958300998234609 101.728308909
5800460046.004601 -5.95385504180225 101.16357624
5800480048.004801 -5.950705042963383 100.702448337
5800500050.005 -5.950741891991829 100.25215115
5800520052.0052 -5.94812103791142 99.7221945102
5800540054.005401 -5.950943536283315 99.2850517105
5800560056.005601 -5.95914851947258 98.698417925
5800580058.0058 -5.960023040240829 98.2525550064
5800600060.0060005 -5.958288703319393 97.7463845836
5800620062.006201 -5.954492819460345 97.3100496517
5800640064.006401 -5.950909644541415 96.7653663965
5800660066.0066 -5.95213973656133 96.2156680182
5800680068.006801 -5.955292279937635 95.8422596193
5800700070.007001 -5.951923153029868 95.3325668475
5800720072.007201 -5.957907502237059 94.8327018512
5800740074.0074005 -5.952660024218868 94.3145904782
5800760076.007601 -5.954784109859993 93.8828183825
5800780078.007801 -5.958284880369358 93.3733606205
5800800080.008 -5.955647927445337 92.8847667604
5800820082.008201 -5.953674590362359 92.4926818802
5800840084.008401 -5.954941778903643 91.9071494616
5800860086.008601 -5.953135920070473 91.3703014825
5800880088.0088005 -5.958498454362429 90.9671338447
5800900090.009001 -5.956920735899599 90.5011928713
5800920092.009201 -5.958831496324493 89.9708327643
5800940094.009401 -5.956690623914886 89.4554340598
5800960096.009601 -5.952396839615356 88.8870369618
5800980098.009801 -5.960926119902971 88.4937740784
5801000100.010001 -5.954932627816765 87.9186515542
5801020102.010201 -5.9528331789139655 87.4163097924
5801040104.010401 -5.954450899762495 87.0402842374
5801060106.010601 -5.95636914395314 86.6535464378
5801080108.010801 -5.967759565021722 86.0139280483
5801100110.011001 -5.957502099107965 85.535183238
5801120112.011201 -5.95258062431829 85.0780757495
5801140114.011401 -5.961875623154667 84.5596033543
5801160116.011601 -5.956270778666574 84.0175793966
5801180118.011801 -5.9605015465459825 83.5710311905
5801200120.012001 -5.958300309612677 83.0825467066
5801220122.012201 -5.959245079402107 82.63978714
5801240124.012402 -5.962468552048944 82.1061840522
5801260126.012601 -5.951105791872675 81.6705432456
5801280128.012801 -5.9655049651023475 81.0880157865
5801300130.013001 -5.960020936227286 80.6701726667
5801320132.013202 -5.966406127180493 80.2181133443
5801340134.013401 -5.956375531277295 79.7643480459
5801360136.013601 -5.9556766810393125 79.2032326358
5801380138.013802 -5.968044309004071 78.6646182662
5801400140.014002 -5.961160134756772 78.3027874511
5801420142.014201 -5.953078294653636 77.672340958
5801440144.014401 -5.955028916609769 77.2285104259
5801460146.014602 -5.964199859417242 76.7434289296
5801480148.014801 -5.957632087730898 76.3358122234
5801500150.015001 -5.966898373378116 75.6980627954
5801520152.015202 -5.966810154707913 75.2588495074
5801540154.015402 -5.956317581651437 74.7571352408
5801560156.015601 -5.954335779156197 74.3094553162
5801580158.015801 -5.960508560236297 73.8310877849
5801600160.016002 -5.9557041827026636 73.3002721516
5801620162.016202 -5.958661929206101 72.7779656328
5801640164.016401 -5.952441042074316 72.4082674635
5801660166.016602 -5.959054776754869 71.9083186738
5801680168.016802 -5.963020923347118 71.4227318643
5801700170.017002 -5.950343720423462 70.9332210156
5801720172.017201 -5.959776161000486 70.4140690365
5801740174.017402 -5.956240872724608 69.9235331911
5801760176.017602 -5.9605940488048335 69.2955057755
5801780178.017802 -5.956925421436368 68.9591013792
5801800180.018002 -5.954630633654922 68.4573297922
5801820182.018202 -5.966893176150609 67.8909007691
5801840184.018402 -5.958371210760214 67.4993043661
5801860186.018601 -5.961503737564566 66.9962802153
5801880188.018802 -5.960609468058423 66.471388849
5801900190.019002 -5.960165098871487 66.0916409297
5801920192.019202 -5.961550296049321 65.493991635
5801940194.019402 -5.958496316066471 64.9486589604
5801960196.019602 -5.960915582185049 64.5013441409
5801980198.019802 -5.960811482623312 64.0446515895
5802000200.020002 -5.958679064239235 63.5928422243
5802020202.020202 -5.956110860421201 63.1115952585
5802040204.020402 -5.959752928547164 62.5668703553
5802060206.020602 -5.965019421624735 62.0814881797
5802080208.0208025 -5.955230319650939 61.6644807575
5802100210.021002 -5.956315178266872 61.0749724939
5802120212.021202 -5.962490057262311 60.5763817103
5802140214.021402 -5.969012963546151 60.155968309
5802160216.021603 -5.9633122279755915 59.6244201215
5802180218.021802 -5.966165210501933 59.1444990091
5802200220.022002 -5.961781491560448 58.6245754718
5802220222.0222025 -5.9622194492617435 58.1690055265
5802240224.022402 -5.953027491793722 57.5421129493
5802260226.022602 -5.968498924269541 57.2620645495
5802280228.022802 -5.960828787099515 56.743677157
5802300230.023003 -5.9639579615149785 56.2970184923
5802320232.023202 -5.958322535804145 55.7769612147
5802340234.023402 -5.966754768366824 55.2120198768
5802360236.0236025 -5.965433246923107 54.8084173078
5802380238.023803 -5.959175818396152 54.1799300128
5802400240.024002 -5.960805984070064 53.7547364248
5802420242.024202 -5.959595779839505 53.2279248752
5802440244.024403 -5.964980429082193 52.7924861201
5802460246.024603 -5.964213605688373 52.3398025283
5802480248.024802 -5.961011013503301 51.81437559
5802500250.0250025 -5.9602193616024906 51.3529925142
5802520252.025203 -5.965353912082881 50.8625234452
5802540254.025402 -5.954040505916691 50.3887712467
5802560256.025602 -5.9602106513962525 49.8225351442
5802580258.025803 -5.958483951584209 49.3111513891
5802600260.026003 -5.955544784417075 48.8700109118
5802620262.026202 -5.954144321050286 48.4026113337
5802640264.026402 -5.959081066111675 47.8939572766
5802660266.026603 -5.967805747826967 47.4374978361
5802680268.026803 -5.9611346574422805 46.9239321235
5802700270.027002 -5.959633502981499 46.4647491448
5802720272.027203 -5.9563156101512815 45.9731876152
5802740274.027403 -5.966745957693506 45.4339770957
5802760276.027603 -5.961897600615593 44.9839311365
5802780278.027802 -5.9649018916379015 44.5238272009
5802800280.028003 -5.959272627736784 43.9253940572
5802820282.028203 -5.954874053268396 43.4210219463
5802840284.028403 -5.969890858608977 43.0276699884
5802860286.028603 -5.95434347669067 42.628202361
5802880288.028803 -5.958084443449486 42.1250399215
5802900290.029003 -5.958438888444247 41.498947656
5802920292.029202 -5.961221701182282 41.0161583396
5802940294.029403 -5.966031429508729 40.5243961699
5802960296.029603 -5.9589885930239195 40.1284031683
5802980298.029803 -5.96316123834402 39.5804114055
5803000300.030003 -5.963929834736701 39.0236572027
5803020302.030203 -5.961616697368678 38.5976478221
5803040304.030403 -5.966049787077813 38.1099804679
5803060306.030603 -5.957378293994019 37.6282076354
5803080308.030803 -5.958781150937577 37.1128257335
5803100310.031003 -5.961178309299911 36.624224754
5803120312.031203 -5.961495963304926 36.1737708679
5803140314.031404 -5.9580973362205665 35.7363943896
5803160316.031603 -5.954005730263741 35.2086838166
5803180318.031803 -5.956919284112637 34.8145793679
5803200320.032003 -5.963062324895 34.2376452
5803220322.032204 -5.955391989545635 33.7233627774
5803240324.032403 -5.96132425266589 33.2211454784
5803260326.032603 -5.968556362481347 32.7262168748
5803280328.032804 -5.9605353833553085 32.269600382
5803300330.033003 -5.9610405791585075 31.8049032687
5803320332.033203 -5.958624505706627 31.3348937233
5803340334.033403 -5.95951550337841 30.7739603348
5803360336.033604 -5.96266793769344 30.3069428815
5803380338.033803 -5.959726777867205 29.8492765437
5803400340.034003 -5.966276374143245 29.379095678
5803420342.034204 -5.96075287261224 28.8913021055
5803440344.034404 -5.968629282369253 28.378612147
5803460346.034603 -5.957481056366786 27.8884484889
5803480348.034803 -5.961077419840496 27.4277420382
5803500350.035004 -5.956477872669817 26.8681529773
5803520352.035204 -5.957978714999189 26.4671419066
5803540354.035403 -5.965877273239584 25.8757043686
5803560356.035604 -5.9559880557419085 25.4543902086
5803580358.035804 -5.962074210021346 24.9029340518
5803600360.036004 -5.961798139585978 24.4156183609
5803620362.036203 -5.970124453867145 23.9961628888
5803640364.036404 -5.964628682765049 23.4855843444
5803660366.036604 -5.964137493049608 22.9689000112
5803680368.036803 -5.964745866924321 22.5021412992
5803700370.0370035 -5.959222034326618 21.9548636605
5803720372.037204 -5.955855060824256 21.5162716312
5803740374.037404 -5.96996248034833 20.9613690972
5803760376.037603 -5.9591653370612345 20.4819762317
5803780378.037804 -5.9662202551676335 20.0910568689
5803800380.038004 -5.957925998011488 19.6021935104
5803820382.038204 -5.964013798245237 19.0373060385
5803840384.0384035 -5.955441715336853 18.535467173
5803860386.038604 -5.952058267284946 18.0936917663
5803880388.038804 -5.955698086672312 17.5185396437
5803900390.039004 -5.956536229415228 17.1173988016
5803920392.039204 -5.968914197056945 16.6362621697
5803940394.039404 -5.96657578287296 16.1569496966
