"Freq [GHz]","dB(St(p2,p1)) []"
4,-77.7883723912757
4.000600060006,-77.7854189616569
4.001200120012,-77.7824653299912
4.001800180018,-77.779511496111
4.002400240024,-77.7765574598482
4.00300030003,-77.773603221035
4.003600360036,-77.7706487795033
4.004200420042,-77.7676941350851
4.004800480048,-77.7647392876125
4.00540054005401,-77.7617842369172
4.00600060006001,-77.7588289828312
4.00660066006601,-77.7558735251864
4.00720072007201,-77.7529178638145
4.00780078007801,-77.7499619985473
4.00840084008401,-77.7470059292166
4.00900090009001,-77.744049655654
4.00960096009601,-77.7410931776911
4.01020102010201,-77.7381364951598
4.01080108010801,-77.7351796078914
4.01140114011401,-77.7322225157175
4.01200120012001,-77.7292652184697
4.01260126012601,-77.7263077159795
4.01320132013201,-77.7233500080782
4.01380138013801,-77.7203920945973
4.01440144014401,-77.7174339753681
4.01500150015001,-77.714475650222
4.01560156015602,-77.7115171189902
4.01620162016202,-77.708558381504
4.01680168016802,-77.7055994375946
4.01740174017402,-77.7026402870933
4.01800180018002,-77.699680929831
4.01860186018602,-77.696721365639
4.01920192019202,-77.6937615943482
4.01980198019802,-77.6908016157897
4.02040204020402,-77.6878414297945
4.02100210021002,-77.6848810361936
4.02160216021602,-77.6819204348178
4.02220222022202,-77.6789596254981
4.02280228022802,-77.6759986080652
4.02340234023402,-77.6730373823499
4.02400240024002,-77.670075948183
4.02460246024602,-77.6671143053953
4.02520252025202,-77.6641524538173
4.02580258025803,-77.6611903932798
4.02640264026403,-77.6582281236133
4.02700270027003,-77.6552656446485
4.02760276027603,-77.6523029562158
4.02820282028203,-77.6493400581457
4.02880288028803,-77.6463769502687
4.02940294029403,-77.6434136324151
4.03000300030003,-77.6404501044155
4.03060306030603,-77.6374863660999
4.03120312031203,-77.6345224172989
4.03180318031803,-77.6315582578426
4.03240324032403,-77.6285938875613
4.03300330033003,-77.625629306285
4.03360336033603,-77.622664513844
4.03420342034203,-77.6196995100684
4.03480348034804,-77.6167342947881
4.03540354035404,-77.6137688678333
4.03600360036004,-77.6108032290339
4.03660366036604,-77.6078373782198
4.03720372037204,-77.604871315221
4.03780378037804,-77.6019050398672
4.03840384038404,-77.5989385519884
4.03900390039004,-77.5959718514143
4.03960396039604,-77.5930049379746
4.04020402040204,-77.590037811499
4.04080408040804,-77.5870704718173
4.04140414041404,-77.5841029187589
4.04200420042004,-77.5811351521535
4.04260426042604,-77.5781671718307
4.04320432043204,-77.5751989776199
4.04380438043804,-77.5722305693506
4.04440444044404,-77.5692619468522
4.04500450045005,-77.566293109954
4.04560456045605,-77.5633240584854
4.04620462046205,-77.5603547922758
4.04680468046805,-77.5573853111544
4.04740474047405,-77.5544156149503
4.04800480048005,-77.5514457034928
4.04860486048605,-77.5484755766111
4.04920492049205,-77.545505234134
4.04980498049805,-77.5425346758908
4.05040504050405,-77.5395639017105
4.05100510051005,-77.536592911422
4.05160516051605,-77.5336217048542
4.05220522052205,-77.5306502818361
4.05280528052805,-77.5276786421964
4.05340534053405,-77.524706785764
4.05400540054005,-77.5217347123677
4.05460546054606,-77.518762421836
4.05520552055206,-77.5157899139979
4.05580558055806,-77.5128171886818
4.05640564056406,-77.5098442457164
4.05700570057006,-77.5068710849303
4.05760576057606,-77.5038977061519
4.05820582058206,-77.5009241092097
4.05880588058806,-77.4979502939322
4.05940594059406,-77.4949762601477
4.06000600060006,-77.4920020076845
4.06060606060606,-77.4890275363711
4.06120612061206,-77.4860528460356
4.06180618061806,-77.4830779365063
4.06240624062406,-77.4801028076113
4.06300630063006,-77.4771274591787
4.06360636063606,-77.4741518910368
4.06420642064206,-77.4711761030134
4.06480648064806,-77.4682000949367
4.06540654065407,-77.4652238666345
4.06600660066007,-77.4622474179349
4.06660666066607,-77.4592707486656
4.06720672067207,-77.4562938586546
4.06780678067807,-77.4533167477295
4.06840684068407,-77.4503394157183
4.06900690069007,-77.4473618624485
4.06960696069607,-77.4443840877478
4.07020702070207,-77.4414060914439
