Freq [GHz];S11;Z
5;-6.55E-05;5.00E+01
5.0005;-6.56E-05;5.00E+01
5.001;-6.56E-05;5.00E+01
5.0015;-6.56E-05;5.00E+01
5.002;-6.56E-05;5.00E+01
5.0025;-6.56E-05;5.00E+01
5.003;-6.56E-05;5.00E+01
5.0035;-6.56E-05;5.00E+01
5.004;-6.56E-05;5.00E+01
5.0045;-6.57E-05;5.00E+01
5.005;-6.57E-05;5.00E+01
5.0055;-6.57E-05;5.00E+01
5.006;-6.57E-05;5.00E+01
5.0065;-6.57E-05;5.00E+01
5.007;-6.57E-05;5.00E+01
5.0075;-6.57E-05;5.00E+01
5.008;-6.57E-05;5.00E+01
5.0085;-6.58E-05;5.00E+01
5.009;-6.58E-05;5.00E+01
5.0095;-6.58E-05;5.00E+01
5.01;-6.58E-05;5.00E+01
5.0105;-6.58E-05;5.00E+01
5.011;-6.58E-05;5.00E+01
5.0115;-6.58E-05;5.00E+01
5.012;-6.58E-05;5.00E+01
5.0125;-6.59E-05;5.00E+01
5.013;-6.59E-05;5.00E+01
5.0135;-6.59E-05;5.00E+01
5.014;-6.59E-05;5.00E+01
5.0145;-6.59E-05;5.00E+01
5.015;-6.59E-05;5.00E+01
5.0155;-6.59E-05;5.00E+01
5.016;-6.59E-05;5.00E+01
5.0165;-6.60E-05;5.00E+01
5.017;-6.60E-05;5.00E+01
5.0175;-6.60E-05;5.00E+01
5.018;-6.60E-05;5.00E+01
5.0185;-6.60E-05;5.00E+01
5.019;-6.60E-05;5.00E+01
5.0195;-6.60E-05;5.00E+01
5.02;-6.60E-05;5.00E+01
5.0205;-6.61E-05;5.00E+01
5.021;-6.61E-05;5.00E+01
5.0215;-6.61E-05;5.00E+01
5.022;-6.61E-05;5.00E+01
5.0225;-6.61E-05;5.00E+01
5.023;-6.61E-05;5.00E+01
5.0235;-6.61E-05;5.00E+01
5.024;-6.62E-05;5.00E+01
5.0245;-6.62E-05;5.00E+01
5.025;-6.62E-05;5.00E+01
5.0255;-6.62E-05;5.00E+01
5.026;-6.62E-05;5.00E+01
5.0265;-6.62E-05;5.00E+01
5.027;-6.62E-05;5.00E+01
5.0275;-6.62E-05;5.00E+01
5.028;-6.63E-05;5.00E+01
5.0285;-6.63E-05;5.00E+01
5.029;-6.63E-05;5.00E+01
5.0295;-6.63E-05;5.00E+01
5.03;-6.63E-05;5.00E+01
5.0305;-6.63E-05;5.00E+01
5.031;-6.63E-05;5.00E+01
5.0315;-6.63E-05;5.00E+01
5.032;-6.64E-05;5.00E+01
5.0325;-6.64E-05;5.00E+01
5.033;-6.64E-05;5.00E+01
5.0335;-6.64E-05;5.00E+01
5.034;-6.64E-05;5.00E+01
5.0345;-6.64E-05;5.00E+01
5.035;-6.64E-05;5.00E+01
5.0355;-6.64E-05;5.00E+01
5.036;-6.64E-05;5.00E+01
5.0365;-6.65E-05;5.00E+01
5.037;-6.65E-05;5.00E+01
5.0375;-6.65E-05;5.00E+01
5.038;-6.65E-05;5.00E+01
5.0385;-6.65E-05;5.00E+01
5.039;-6.65E-05;5.00E+01
5.0395;-6.65E-05;5.00E+01
5.04;-6.65E-05;5.00E+01
5.0405;-6.66E-05;5.00E+01
5.041;-6.66E-05;5.00E+01
5.0415;-6.66E-05;5.00E+01
5.042;-6.66E-05;5.00E+01
5.0425;-6.66E-05;5.00E+01
5.043;-6.66E-05;5.00E+01
5.0435;-6.66E-05;5.00E+01
5.044;-6.66E-05;5.00E+01
5.0445;-6.67E-05;5.00E+01
5.045;-6.67E-05;5.00E+01
5.0455;-6.67E-05;5.00E+01
5.046;-6.67E-05;5.00E+01
5.0465;-6.67E-05;5.00E+01
5.047;-6.67E-05;5.00E+01
5.0475;-6.67E-05;5.00E+01
5.048;-6.67E-05;5.00E+01
5.0485;-6.68E-05;5.00E+01
5.049;-6.68E-05;5.00E+01
5.0495;-6.68E-05;5.00E+01
5.05;-6.68E-05;5.00E+01
5.0505;-6.68E-05;5.00E+01
5.051;-6.68E-05;5.00E+01
5.0515;-6.68E-05;5.00E+01
5.052;-6.68E-05;5.00E+01
5.0525;-6.69E-05;5.00E+01
5.053;-6.69E-05;5.00E+01
5.0535;-6.69E-05;5.00E+01
5.054;-6.69E-05;5.00E+01
5.0545;-6.69E-05;5.00E+01
5.055;-6.69E-05;5.00E+01
5.0555;-6.69E-05;5.00E+01
5.056;-6.69E-05;5.00E+01
5.0565;-6.70E-05;5.00E+01
5.057;-6.70E-05;5.00E+01
5.0575;-6.70E-05;5.00E+01
5.058;-6.70E-05;5.00E+01
5.0585;-6.70E-05;5.00E+01
5.059;-6.70E-05;5.00E+01
5.0595;-6.70E-05;5.00E+01
5.06;-6.70E-05;5.00E+01
5.0605;-6.71E-05;5.00E+01
5.061;-6.71E-05;5.00E+01
5.0615;-6.71E-05;5.00E+01
5.062;-6.71E-05;5.00E+01
5.0625;-6.71E-05;5.00E+01
5.063;-6.71E-05;5.00E+01
5.0635;-6.71E-05;5.00E+01
5.064;-6.71E-05;5.00E+01
5.0645;-6.72E-05;5.00E+01
5.065;-6.72E-05;5.00E+01
5.0655;-6.72E-05;5.00E+01
5.066;-6.72E-05;5.00E+01
5.0665;-6.72E-05;5.00E+01
5.067;-6.72E-05;5.00E+01
5.0675;-6.72E-05;5.00E+01
5.068;-6.72E-05;5.00E+01
5.0685;-6.73E-05;5.00E+01
5.069;-6.73E-05;5.00E+01
5.0695;-6.73E-05;5.00E+01
5.07;-6.73E-05;5.00E+01
5.0705;-6.73E-05;5.00E+01
5.071;-6.73E-05;5.00E+01
5.0715;-6.73E-05;5.00E+01
5.072;-6.73E-05;5.00E+01
5.0725;-6.74E-05;5.00E+01
5.073;-6.74E-05;5.00E+01
5.0735;-6.74E-05;5.00E+01
5.074;-6.74E-05;5.00E+01
5.0745;-6.74E-05;5.00E+01
5.075;-6.74E-05;5.00E+01
5.0755;-6.74E-05;5.00E+01
5.076;-6.74E-05;5.00E+01
5.0765;-6.75E-05;5.00E+01
5.077;-6.75E-05;5.00E+01
5.0775;-6.75E-05;5.00E+01
5.078;-6.75E-05;5.00E+01
5.0785;-6.75E-05;5.00E+01
5.079;-6.75E-05;5.00E+01
5.0795;-6.75E-05;5.00E+01
5.08;-6.75E-05;5.00E+01
5.0805;-6.76E-05;5.00E+01
5.081;-6.76E-05;5.00E+01
5.0815;-6.76E-05;5.00E+01
5.082;-6.76E-05;5.00E+01
5.0825;-6.76E-05;5.00E+01
5.083;-6.76E-05;5.00E+01
5.0835;-6.76E-05;5.00E+01
5.084;-6.76E-05;5.00E+01
5.0845;-6.77E-05;5.00E+01
5.085;-6.77E-05;5.00E+01
5.0855;-6.77E-05;5.00E+01
5.086;-6.77E-05;5.00E+01
5.0865;-6.77E-05;5.00E+01
5.087;-6.77E-05;5.00E+01
5.0875;-6.77E-05;5.00E+01
5.088;-6.77E-05;5.00E+01
5.0885;-6.77E-05;5.00E+01
5.089;-6.78E-05;5.00E+01
5.0895;-6.78E-05;5.00E+01
5.09;-6.78E-05;5.00E+01
5.0905;-6.78E-05;5.00E+01
5.091;-6.78E-05;5.00E+01
5.0915;-6.78E-05;5.00E+01
5.092;-6.78E-05;5.00E+01
5.0925;-6.78E-05;5.00E+01
5.093;-6.79E-05;5.00E+01
5.0935;-6.79E-05;5.00E+01
5.094;-6.79E-05;5.00E+01
5.0945;-6.79E-05;5.00E+01
5.095;-6.79E-05;5.00E+01
5.0955;-6.79E-05;5.00E+01
5.096;-6.79E-05;5.00E+01
5.0965;-6.79E-05;5.00E+01
5.097;-6.80E-05;5.00E+01
5.0975;-6.80E-05;5.00E+01
5.098;-6.80E-05;5.00E+01
5.0985;-6.80E-05;5.00E+01
5.099;-6.80E-05;5.00E+01
5.0995;-6.80E-05;5.00E+01
5.1;-6.80E-05;5.00E+01
5.1005;-6.80E-05;5.00E+01
5.101;-6.81E-05;5.00E+01
5.1015;-6.81E-05;5.00E+01
5.102;-6.81E-05;5.00E+01
5.1025;-6.81E-05;5.00E+01
5.103;-6.81E-05;5.00E+01
5.1035;-6.81E-05;5.00E+01
5.104;-6.81E-05;5.00E+01
