"Freq [GHz]","mag(Zt(Signal1_3_T1,Signal1_2_T1)) []"
5,0.0846888164118395
5.0005,0.0846947802018882
5.001,0.0847007479311055
5.0015,0.0847067196007608
5.002,0.0847126952121246
5.0025,0.0847186747664686
5.003,0.0847246582650652
5.0035,0.0847306457091883
5.004,0.0847366371001124
5.0045,0.0847426324391136
5.005,0.0847486317274684
5.0055,0.084754634966455
5.006,0.0847606421573523
5.0065,0.0847666533014403
5.007,0.0847726684000002
5.0075,0.084778687454314
5.008,0.0847847104656651
5.0085,0.0847907374353377
5.009,0.0847967683646172
5.0095,0.0848028032547899
5.01,0.0848088421071434
5.0105,0.0848148849229664
5.011,0.0848209317035482
5.0115,0.0848269824501797
5.012,0.0848330371641525
5.0125,0.0848390958467596
5.013,0.0848451584992949
5.0135,0.0848512251230533
5.014,0.0848572957193309
5.0145,0.0848633702894247
5.015,0.0848694488346329
5.0155,0.0848755313562549
5.016,0.084881617855591
5.0165,0.0848877083339425
5.017,0.0848938027926121
5.0175,0.0848999012329032
5.018,0.0849060036561205
5.0185,0.0849121100635696
5.019,0.0849182204565575
5.0195,0.084924334836392
5.02,0.0849304532043821
5.0205,0.0849365755618378
5.021,0.0849427019100702
5.0215,0.0849488322503916
5.022,0.0849549665841153
5.0225,0.0849611049125556
5.023,0.0849672472370279
5.0235,0.0849733935588489
5.024,0.0849795438793362
5.0245,0.0849856981998086
5.025,0.0849918565215857
5.0255,0.0849980188459885
5.026,0.0850041851743391
5.0265,0.0850103555079605
5.027,0.0850165298481769
5.0275,0.0850227081963135
5.028,0.0850288905536967
5.0285,0.0850350769216539
5.029,0.0850412673015137
5.0295,0.0850474616946057
5.03,0.0850536601022607
5.0305,0.0850598625258105
5.031,0.0850660689665882
5.0315,0.0850722794259274
5.032,0.0850784939051636
5.0325,0.0850847124056329
5.033,0.0850909349286726
5.0335,0.0850971614756212
5.034,0.0851033920478182
5.0345,0.0851096266466041
5.035,0.0851158652733208
5.0355,0.0851221079293111
5.036,0.0851283546159189
5.0365,0.0851346053344893
5.037,0.0851408600863684
5.0375,0.0851471188729034
5.038,0.0851533816954428
5.0385,0.085159648555336
5.039,0.0851659194539336
5.0395,0.0851721943925874
5.04,0.0851784733726499
5.0405,0.0851847563954754
5.041,0.0851910434624187
5.0415,0.085197334574836
5.042,0.0852036297340845
5.0425,0.0852099289415227
5.043,0.08521623219851
5.0435,0.0852225395064069
5.044,0.0852288508665753
5.0445,0.0852351662803779
5.045,0.0852414857491789
5.0455,0.085247809274343
5.046,0.0852541368572366
5.0465,0.0852604684992271
5.047,0.0852668042016827
5.0475,0.0852731439659731
5.048,0.0852794877934691
5.0485,0.0852858356855422
5.049,0.0852921876435657
5.0495,0.0852985436689133
5.05,0.0853049037629604
5.0505,0.0853112679270833
5.051,0.0853176361626593
5.0515,0.085324008471067
5.052,0.0853303848536863
5.0525,0.0853367653118977
5.053,0.0853431498470835
5.0535,0.0853495384606266
5.054,0.0853559311539111
5.0545,0.0853623279283225
5.055,0.0853687287852473
5.0555,0.0853751337260731
5.056,0.0853815427521886
5.0565,0.0853879558649837
5.057,0.0853943730658494
5.0575,0.0854007943561781
5.058,0.0854072197373628
5.0585,0.0854136492107982
5.059,0.0854200827778796
5.0595,0.0854265204400041
5.06,0.0854329621985692
5.0605,0.0854394080549742
5.061,0.085445858010619
5.0615,0.085452312066905
5.062,0.0854587702252349
5.0625,0.0854652324870119
5.063,0.0854716988536409
5.0635,0.0854781693265278
5.064,0.0854846439070797
5.0645,0.0854911225967047
5.065,0.085497605396812
5.0655,0.0855040923088123
5.066,0.0855105833341172
5.0665,0.0855170784741395
5.067,0.085523577730293
5.0675,0.0855300811039928
5.068,0.0855365885966553
5.0685,0.0855431002096978
5.069,0.0855496159445389
5.0695,0.0855561358025984
5.07,0.085562659785297
5.0705,0.0855691878940569
5.071,0.0855757201303012
5.0715,0.0855822564954542
5.072,0.0855887969909415
5.0725,0.0855953416181899
5.073,0.085601890378627
5.0735,0.0856084432736819
5.074,0.0856150003047849
5.0745,0.0856215614733671
5.075,0.0856281267808612
5.0755,0.0856346962287008
5.076,0.0856412698183208
5.0765,0.085647847551157
5.077,0.0856544294286468
5.0775,0.0856610154522284
5.078,0.0856676056233414
5.0785,0.0856741999434266
5.079,0.0856807984139256
5.0795,0.0856874010362817
5.08,0.0856940078119387
5.0805,0.0857006187423424
5.081,0.0857072338289392
5.0815,0.0857138530731769
5.082,0.0857204764765044
5.0825,0.0857271040403718
5.083,0.0857337357662302
5.0835,0.0857403716555323
5.084,0.0857470117097316
5.0845,0.0857536559302829
5.085,0.0857603043186423
5.0855,0.085766956876267
5.086,0.0857736136046152
5.0865,0.0857802745051467
5.087,0.0857869395793221
5.0875,0.0857936088286032
5.088,0.0858002822544533
5.0885,0.0858069598583367
5.089,0.0858136416417188
5.0895,0.0858203276060662
5.09,0.0858270177528471
5.0905,0.0858337120835303
5.091,0.0858404105995862
5.0915,0.0858471133024861
