f Amp Fase
1000000000.0 -23.387596148043166 -179.17117528
1000900090.0090009 -23.400517448415243 159.043691636
1001800180.0180018 -23.407448577575032 137.352883793
1002700270.0270027 -23.412960012014725 115.660516127
1003600360.0360036 -23.40588088680341 93.9087144076
1004500450.0450045 -23.39673236828326 72.2629467872
1005400540.0540054 -23.39471029134257 50.5855589418
1006300630.0630063 -23.385186574485665 28.7710585595
1007200720.0720072 -23.370722478553176 7.03352993824
1008100810.0810081 -23.359435650986455 -14.8754543627
1009000900.090009 -23.331550571563376 -36.624238204
1009900990.0990099 -23.32096464586613 -58.4064647254
1010801080.1080108 -23.306029903492078 -80.3130520375
1011701170.1170117 -23.28862092347287 -102.159037757
1012601260.1260126 -23.268165391746294 -124.158064159
1013501350.1350135 -23.248881624642923 -146.038769496
1014401440.1440144 -23.223049091241595 -168.204017241
1015301530.1530153 -23.21530653878551 169.921987253
1016201620.1620162 -23.186170194650664 147.794835965
1017101710.171017 -23.173430996806296 125.793952599
1018001800.180018 -23.146401312096913 103.671437053
1018901890.1890188 -23.123799296096678 81.4785556982
1019801980.1980197 -23.110499795368668 59.4693099551
1020702070.2070208 -23.09736899296903 37.3224880611
1021602160.2160217 -23.088505481239668 15.0851841496
1022502250.2250226 -23.075112137815147 -6.9549205736
1023402340.2340235 -23.067454474168937 -29.2106249419
1024302430.2430243 -23.046643969263563 -51.3559054325
1025202520.2520252 -23.02364547266582 -73.5120699814
1026102610.2610261 -23.002086971053075 -95.6717215201
1027002700.270027 -22.985192093620306 -117.926939043
1027902790.2790279 -22.964543568787544 -140.208332028
1028802880.2880288 -22.96099770576236 -162.487540537
1029702970.2970297 -22.944320826294415 175.286797247
1030603060.3060306 -22.938227243997318 153.092006946
1031503150.3150315 -22.925859251971467 130.777588542
1032403240.3240324 -22.914037892908667 108.388131094
1033303330.3330333 -22.906393091387876 86.1711437988
1034203420.3420342 -22.898961882960336 63.7961998223
1035103510.3510351 -22.89769171372004 41.4077111377
1036003600.360036 -22.9003033210733 19.1361126808
1036903690.3690369 -22.902537004787476 -3.28163034831
1037803780.3780378 -22.904614201746824 -25.5866913433
1038703870.3870387 -22.915666442214956 -47.7992171393
1039603960.3960396 -22.92817124586263 -69.9801025771
1040504050.4050405 -22.939080812739 -91.9147077732
1041404140.4140414 -22.92658160636398 -113.897943365
1042304230.4230423 -22.908418980361706 -136.078590102
1043204320.4320432 -22.89074987943887 -158.385372459
1044104410.4410441 -22.88939225719355 179.171675003
1045004500.450045 -22.887201937222464 156.884481427
1045904590.4590459 -22.88709011277092 134.589397013
1046804680.4680468 -22.884423579833275 112.371614934
1047704770.4770477 -22.880932032588483 90.1651631906
1048604860.4860486 -22.877361452988822 67.9821229221
1049504950.4950495 -22.872343667990638 45.7693006477
1050405040.5040504 -22.86699380009547 23.5339134751
1051305130.5130513 -22.873727613670916 1.25216962931
1052205220.5220522 -22.85941220639256 -21.0220579849
1053105310.5310531 -22.851125976082077 -43.2254739957
1054005400.540054 -22.838811344155857 -65.5313205215
1054905490.5490549 -22.831698599917996 -87.7846737903
1055805580.5580558 -22.817399923399513 -110.200183413
1056705670.5670567 -22.798271613771618 -132.63167946
1057605760.5760576 -22.803863806700377 -155.062103449
1058505850.5850585 -22.79665711695147 -177.464995421
1059405940.5940595 -22.79528505116851 160.066732417
1060306030.6030602 -22.800057193869215 137.566486393
1061206120.6120613 -22.802708403369053 115.043234123
1062106210.6210622 -22.805745919118813 92.5078876192
1063006300.630063 -22.80566020150301 69.9685714462
1063906390.639064 -22.813282235310112 47.5229339594
1064806480.6480649 -22.820773969160303 24.925251978
1065706570.6570657 -22.83406579382168 2.41855832582
1066606660.6660666 -22.84270152484047 -20.1488575134
1067506750.6750675 -22.869838639085536 -42.7266198975
1068406840.6840684 -22.89200566687248 -65.1963215772
1069306930.6930693 -22.911429471837835 -87.7659631577
1070207020.7020702 -22.929521531898036 -110.205948219
1071107110.7110711 -22.95872198184737 -132.705245927
1072007200.720072 -22.987053759556602 -155.186749575
1072907290.7290729 -23.01040622048829 -177.785535377
1073807380.7380738 -23.04107827391698 159.798741947
1074707470.7470746 -23.080496393300976 137.383138208
1075607560.7560756 -23.11434586123339 114.917731482
1076507650.7650764 -23.148235459941745 92.4758542383
1077407740.7740774 -23.191760709809213 70.2028082794
1078307830.7830782 -23.237021209263414 47.9220249934
1079207920.7920792 -23.28065519148078 25.4858429149
1080108010.8010802 -23.327753443978125 3.25434699733
1081008100.810081 -23.377746363274742 -19.0307077926
1081908190.8190818 -23.427287378876667 -41.1569977059
1082808280.8280828 -23.482807291715623 -63.4389765748
1083708370.8370838 -23.52605797715942 -85.5175059221
1084608460.8460846 -23.585295588496145 -107.551602046
1085508550.8550856 -23.63592625575723 -129.490000778
1086408640.8640864 -23.68999185125729 -151.53525758
1087308730.8730874 -23.74526110119082 -173.367440957
1088208820.8820882 -23.798940373023576 164.74885547
1089108910.8910892 -23.854910896282444 143.039496301
1090009000.90009 -23.89685942130989 121.261770321
1090909090.909091 -23.94218191377558 99.4197598209
1091809180.9180918 -23.985762998490085 77.8450642637
1092709270.9270928 -24.01800510794856 56.2564381433
1093609360.9360936 -24.049097602672425 34.6968323187
1094509450.9450946 -24.077903752874242 13.2032327824
1095409540.9540954 -24.108183396206194 -8.45160849362
1096309630.9630964 -24.145586908185777 -30.1749139664
1097209720.9720972 -24.17034606672436 -51.5859846636
1098109810.9810982 -24.189489628940652 -73.0153810988
