        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                       1                     -0.14850403
                   1.009                     -0.15393237
                   1.018                     -0.15958992
                   1.027                     -0.16548811
                   1.036                     -0.17163898
                   1.045                     -0.17805516
                   1.054                     -0.18474994
                   1.063                     -0.19173727
                   1.072                     -0.19903176
                   1.081                     -0.20664876
                    1.09                     -0.21460431
                   1.099                     -0.22291521
                   1.108                     -0.23159901
                   1.117                     -0.24067404
                   1.126                     -0.25015936
                   1.135                     -0.26007484
                   1.144                     -0.27044108
                   1.153                     -0.28127943
                   1.162                     -0.29261198
                   1.171                     -0.30446147
                    1.18                     -0.31685129
                   1.189                     -0.32980537
                   1.198                     -0.34334815
                   1.207                     -0.35750441
                   1.216                     -0.37229922
                   1.225                      -0.3877577
                   1.234                     -0.40390491
                   1.243                     -0.42076561
                   1.252                     -0.43836399
                   1.261                     -0.45672343
                    1.27                     -0.47586615
                   1.279                     -0.49581281
                   1.288                     -0.51658215
                   1.297                      -0.5381905
                   1.306                     -0.56065127
                   1.315                      -0.5839744
                   1.324                     -0.60816577
                   1.333                     -0.63322653
                   1.342                     -0.65915249
                   1.351                     -0.68593337
                    1.36                     -0.71355211
                   1.369                     -0.74198419
                   1.378                     -0.77119692
                   1.387                     -0.80114881
                   1.396                     -0.83178904
                   1.405                     -0.86305692
                   1.414                     -0.89488159
                   1.423                     -0.92718182
                   1.432                     -0.95986601
                   1.441                     -0.99283239
                    1.45                      -1.0259695
                   1.459                      -1.0591569
                   1.468                      -1.0922662
                   1.477                      -1.1251622
                   1.486                      -1.1577048
                   1.495                      -1.1897502
                   1.504                      -1.2211536
                   1.513                       -1.251771
                   1.522                      -1.2814614
                   1.531                      -1.3100897
                    1.54                      -1.3375283
                   1.549                      -1.3636599
                   1.558                      -1.3883793
                   1.567                      -1.4115951
                   1.576                      -1.4332316
                   1.585                      -1.4532291
                   1.594                      -1.4715454
                   1.603                      -1.4881556
                   1.612                      -1.5030523
                   1.621                      -1.5162447
                    1.63                      -1.5277582
                   1.639                       -1.537633
                   1.648                      -1.5459226
                   1.657                      -1.5526925
                   1.666                      -1.5580181
                   1.675                      -1.5619836
                   1.684                      -1.5646794
                   1.693                       -1.566201
                   1.702                      -1.5666473
                   1.711                      -1.5661186
                    1.72                      -1.5647162
                   1.729                        -1.56254
                   1.738                      -1.5596886
                   1.747                      -1.5562576
                   1.756                      -1.5523394
                   1.765                      -1.5480225
                   1.774                       -1.543391
                   1.783                      -1.5385246
                   1.792                       -1.533498
                   1.801                      -1.5283813
                    1.81                      -1.5232398
                   1.819                      -1.5181339
                   1.828                      -1.5131198
                   1.837                       -1.508249
                   1.846                      -1.5035691
                   1.855                      -1.4991237
                   1.864                      -1.4949528
                   1.873                      -1.4910929
                   1.882                      -1.4875776
                   1.891                      -1.4844375
                     1.9                      -1.4817006
                   1.909                      -1.4793927
                   1.918                      -1.4775375
                   1.927                      -1.4761567
                   1.936                      -1.4752706
                   1.945                      -1.4748978
                   1.954                       -1.475056
                   1.963                      -1.4757616
                   1.972                      -1.4770302
                   1.981                      -1.4788767
                    1.99                      -1.4813146
                   1.999                       -1.484355
                       2                      -1.4847544
                   2.008                      -1.4880323
                2.008016                      -1.4880394
               2.0160321                      -1.4918368
                   2.017                      -1.4923299
