        Frequency / GHz                S2,1_950k_mesh/abs,linear
----------------------------------------------------------------------
                       1                      0.93991396
                   1.014                      0.93608731
                   1.028                      0.93196599
                   1.042                       0.9275258
                   1.056                      0.92274141
                    1.07                      0.91758657
                   1.084                      0.91203457
                   1.098                      0.90605879
                   1.112                      0.89963343
                   1.126                       0.8927346
                    1.14                      0.88534155
                   1.154                      0.87743836
                   1.168                      0.86901586
                   1.182                      0.86007406
                   1.196                      0.85062474
                    1.21                      0.84069447
                   1.224                      0.83032761
                   1.238                      0.81958922
                   1.252                      0.80856756
                   1.266                      0.79737566
                    1.28                      0.78615151
                   1.294                      0.77505646
                   1.308                      0.76427118
                   1.322                      0.75398925
                   1.336                      0.74440819
                    1.35                      0.73571863
                   1.364                       0.7280924
                   1.378                      0.72167107
                   1.392                      0.71655612
                   1.406                      0.71280237
                    1.42                      0.71041535
                   1.434                      0.70935296
                   1.448                      0.70953103
                   1.462                       0.7108317
                   1.476                      0.71311333
                    1.49                      0.71622074
                   1.504                      0.71999445
                   1.518                      0.72427848
                   1.532                       0.7289261
                   1.546                      0.73380368
                    1.56                      0.73879281
                   1.574                      0.74379094
                   1.588                      0.74871105
                   1.602                      0.75348049
                   1.616                      0.75803953
                    1.63                      0.76233956
                   1.644                      0.76634139
                   1.658                       0.7700135
                   1.672                      0.77333049
                   1.686                      0.77627162
                     1.7                      0.77881963
                   1.714                       0.7809596
                   1.728                      0.78267804
                   1.742                      0.78396212
                   1.756                      0.78479898
                    1.77                      0.78517518
                   1.784                      0.78507621
                   1.798                      0.78448611
                   1.812                      0.78338711
                   1.826                      0.78175944
                    1.84                      0.77958103
                   1.854                      0.77682746
                   1.868                      0.77347186
                   1.882                      0.76948498
                   1.896                       0.7648353
                    1.91                      0.75948937
                   1.924                      0.75341226
                   1.938                       0.7465683
                   1.952                      0.73892209
                   1.966                      0.73043989
                    1.98                      0.72109148
                   1.994                      0.71085257
                   2.008                      0.69970782
                   2.022                      0.68765469
                   2.036                      0.67470798
                    2.05                       0.6609053
                   2.064                      0.64631311
                   2.078                       0.6310334
                   2.092                      0.61521025
                   2.106                      0.59903581
                    2.12                      0.58275438
                   2.134                      0.56666333
                   2.148                      0.55110893
                   2.162                      0.53647535
                   2.176                      0.52316544
                    2.19                      0.51157296
                   2.204                      0.50204803
                   2.218                      0.49485993
                   2.232                      0.49016401
                   2.246                      0.48797962
                    2.26                      0.48818484
                   2.274                      0.49052946
                   2.288                      0.49466296
                   2.302                      0.50017104
                   2.316                       0.5066132
                    2.33                      0.51355538
                   2.344                      0.52059448
                   2.358                      0.52737396
                   2.372                      0.53359157
                   2.386                      0.53900116
                     2.4                      0.54341037
                   2.414                      0.54667617
                   2.428                      0.54869926
                   2.442                       0.5494185
                   2.456                       0.5488056
                    2.47                      0.54686052
                   2.484                      0.54360767
                   2.498                      0.53909271
                   2.512                      0.53338003
                   2.526                      0.52655076
                    2.54                      0.51870101
                   2.554                       0.5099405
                   2.568                      0.50039119
                   2.582                      0.49018594
                   2.596                      0.47946713
                    2.61                      0.46838515
                   2.624                      0.45709663
                   2.638                      0.44576248
                   2.652                      0.43454563
                   2.666                      0.42360848
                    2.68                      0.41311001
                   2.694                      0.40320254
                   2.708                      0.39402837
                   2.722                      0.38571614
                   2.736                      0.37837731
                    2.75                      0.37210287
                   2.764                      0.36696063
                   2.778                      0.36299338
                   2.792                      0.36021813
                   2.806                       0.3586266
                    2.82                        0.358187
                   2.834                       0.3588469
                   2.848                      0.36053693
                   2.862                      0.36317494
                   2.876                      0.36667025
                    2.89                      0.37092762
                   2.904                      0.37585075
                   2.918                      0.38134516
                   2.932                      0.38732032
                   2.946                      0.39369123
                    2.96                       0.4003793
                   2.974                      0.40731284
