        Frequency / GHz                S2,1/abs,linear
----------------------------------------------------------------------
                       1                      0.99914671
               1.0028006                      0.99914152
               1.0056011                      0.99913631
               1.0084017                      0.99913108
               1.0112022                      0.99912584
               1.0140028                      0.99912057
               1.0168034                      0.99911528
               1.0196039                      0.99910998
               1.0224045                      0.99910465
                1.025205                      0.99909931
               1.0280056                      0.99909395
               1.0308062                      0.99908856
               1.0336067                      0.99908316
               1.0364073                      0.99907774
               1.0392078                       0.9990723
               1.0420084                      0.99906684
                1.044809                      0.99906136
               1.0476095                      0.99905586
               1.0504101                      0.99905034
               1.0532106                       0.9990448
               1.0560112                      0.99903924
               1.0588118                      0.99903366
               1.0616123                      0.99902806
               1.0644129                      0.99902244
               1.0672134                       0.9990168
                1.070014                      0.99901115
               1.0728146                      0.99900547
               1.0756151                      0.99899977
               1.0784157                      0.99899405
               1.0812162                      0.99898832
               1.0840168                      0.99898256
               1.0868174                      0.99897678
               1.0896179                      0.99897098
               1.0924185                      0.99896516
                1.095219                      0.99895933
               1.0980196                      0.99895347
               1.1008202                      0.99894759
               1.1036207                      0.99894169
               1.1064213                      0.99893577
               1.1092218                      0.99892983
               1.1120224                      0.99892387
                1.114823                      0.99891789
               1.1176235                      0.99891189
               1.1204241                      0.99890587
               1.1232246                      0.99889983
               1.1260252                      0.99889376
               1.1288258                      0.99888768
               1.1316263                      0.99888158
               1.1344269                      0.99887545
               1.1372274                      0.99886931
                1.140028                      0.99886314
               1.1428286                      0.99885696
               1.1456291                      0.99885075
               1.1484297                      0.99884452
               1.1512302                      0.99883827
               1.1540308                        0.998832
               1.1568314                      0.99882571
               1.1596319                       0.9988194
               1.1624325                      0.99881306
                1.165233                      0.99880671
               1.1680336                      0.99880034
               1.1708342                      0.99879394
               1.1736347                      0.99878752
               1.1764353                      0.99878108
               1.1792358                      0.99877462
               1.1820364                      0.99876814
                1.184837                      0.99876164
               1.1876375                      0.99875511
               1.1904381                      0.99874857
               1.1932386                        0.998742
               1.1960392                      0.99873541
               1.1988398                       0.9987288
               1.2016403                      0.99872217
               1.2044409                      0.99871551
               1.2072414                      0.99870884
                1.210042                      0.99870214
               1.2128426                      0.99869542
               1.2156431                      0.99868868
               1.2184437                      0.99868192
               1.2212442                      0.99867513
               1.2240448                      0.99866832
               1.2268454                       0.9986615
               1.2296459                      0.99865464
               1.2324465                      0.99864777
                1.235247                      0.99864087
               1.2380476                      0.99863396
               1.2408482                      0.99862702
               1.2436487                      0.99862005
               1.2464493                      0.99861307
               1.2492498                      0.99860606
               1.2520504                      0.99859903
                1.254851                      0.99859198
               1.2576515                       0.9985849
               1.2604521                      0.99857781
               1.2632527                      0.99857068
               1.2660532                      0.99856354
               1.2688538                      0.99855637
               1.2716543                      0.99854919
               1.2744549                      0.99854197
               1.2772555                      0.99853474
                1.280056                      0.99852748
               1.2828566                       0.9985202
               1.2856571                      0.99851289
               1.2884577                      0.99850557
               1.2912583                      0.99849822
               1.2940588                      0.99849084
               1.2968594                      0.99848344
               1.2996599                      0.99847602
               1.3024605                      0.99846858
               1.3052611                      0.99846111
               1.3080616                      0.99845362
               1.3108622                       0.9984461
               1.3136627                      0.99843856
               1.3164633                        0.998431
               1.3192639                      0.99842341
               1.3220644                       0.9984158
                1.324865                      0.99840817
               1.3276655                      0.99840051
               1.3304661                      0.99839283
               1.3332667                      0.99838512
               1.3360672                      0.99837739
               1.3388678                      0.99836963
               1.3416683                      0.99836185
               1.3444689                      0.99835405
               1.3472695                      0.99834622
                 1.35007                      0.99833837
               1.3528706                      0.99833049
               1.3556711                      0.99832259
               1.3584717                      0.99831466
               1.3612723                      0.99830671
               1.3640728                      0.99829873
               1.3668734                      0.99829073
               1.3696739                       0.9982827
               1.3724745                      0.99827465
               1.3752751                      0.99826657
               1.3780756                      0.99825847
               1.3808762                      0.99825034
               1.3836767                      0.99824219
               1.3864773                      0.99823401
               1.3892779                      0.99822581
               1.3920784                      0.99821758
                1.394879                      0.99820932
               1.3976795                      0.99820104
               1.4004801                      0.99819273
               1.4032807                       0.9981844
               1.4060812                      0.99817604
               1.4088818                      0.99816766
               1.4116823                      0.99815925
               1.4144829                      0.99815081
               1.4172835                      0.99814235
