        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                       1                   -0.0044438467
               1.0028006                   -0.0044623639
               1.0056011                   -0.0044810276
               1.0084017                   -0.0044998377
               1.0112022                   -0.0045187941
               1.0140028                   -0.0045378967
               1.0168034                   -0.0045571454
               1.0196039                   -0.0045765401
               1.0224045                   -0.0045960807
                1.025205                   -0.0046157672
               1.0280056                   -0.0046355995
               1.0308062                   -0.0046555774
               1.0336067                   -0.0046757009
               1.0364073                   -0.0046959699
               1.0392078                   -0.0047163843
               1.0420084                    -0.004736944
                1.044809                    -0.004757649
               1.0476095                   -0.0047784992
               1.0504101                   -0.0047994945
               1.0532106                   -0.0048206347
               1.0560112                   -0.0048419199
               1.0588118                   -0.0048633499
               1.0616123                   -0.0048849247
               1.0644129                   -0.0049066441
               1.0672134                   -0.0049285082
                1.070014                   -0.0049505168
               1.0728146                   -0.0049726698
               1.0756151                   -0.0049949673
               1.0784157                    -0.005017409
               1.0812162                   -0.0050399949
               1.0840168                    -0.005062725
               1.0868174                   -0.0050855992
               1.0896179                   -0.0051086173
               1.0924185                   -0.0051317794
                1.095219                   -0.0051550854
               1.0980196                   -0.0051785351
               1.1008202                   -0.0052021286
               1.1036207                   -0.0052258656
               1.1064213                   -0.0052497463
               1.1092218                   -0.0052737705
               1.1120224                   -0.0052979381
                1.114823                   -0.0053222491
               1.1176235                   -0.0053467033
               1.1204241                   -0.0053713008
               1.1232246                   -0.0053960415
               1.1260252                   -0.0054209253
               1.1288258                   -0.0054459521
               1.1316263                   -0.0054711219
               1.1344269                   -0.0054964346
               1.1372274                   -0.0055218902
                1.140028                   -0.0055474886
               1.1428286                   -0.0055732296
               1.1456291                   -0.0055991134
               1.1484297                   -0.0056251397
               1.1512302                   -0.0056513086
               1.1540308                     -0.00567762
               1.1568314                   -0.0057040738
               1.1596319                     -0.00573067
               1.1624325                   -0.0057574085
                1.165233                   -0.0057842892
               1.1680336                   -0.0058113122
               1.1708342                   -0.0058384773
               1.1736347                   -0.0058657845
               1.1764353                   -0.0058932338
               1.1792358                    -0.005920825
               1.1820364                   -0.0059485581
                1.184837                   -0.0059764332
               1.1876375                   -0.0060044501
               1.1904381                   -0.0060326087
               1.1932386                   -0.0060609091
               1.1960392                   -0.0060893512
               1.1988398                   -0.0061179349
               1.2016403                   -0.0061466602
               1.2044409                   -0.0061755271
               1.2072414                   -0.0062045354
                1.210042                   -0.0062336852
               1.2128426                   -0.0062629764
               1.2156431                   -0.0062924089
               1.2184437                   -0.0063219828
               1.2212442                   -0.0063516979
               1.2240448                   -0.0063815542
               1.2268454                   -0.0064115518
               1.2296459                   -0.0064416905
               1.2324465                   -0.0064719703
                1.235247                   -0.0065023911
               1.2380476                    -0.006532953
               1.2408482                   -0.0065636559
               1.2436487                   -0.0065944997
               1.2464493                   -0.0066254845
               1.2492498                   -0.0066566101
               1.2520504                   -0.0066878765
                1.254851                   -0.0067192838
               1.2576515                   -0.0067508318
               1.2604521                   -0.0067825206
               1.2632527                   -0.0068143501
               1.2660532                   -0.0068463202
               1.2688538                    -0.006878431
               1.2716543                   -0.0069106824
               1.2744549                   -0.0069430744
               1.2772555                    -0.006975607
                1.280056                     -0.00700828
               1.2828566                   -0.0070410936
               1.2856571                   -0.0070740476
               1.2884577                   -0.0071071421
               1.2912583                   -0.0071403769
               1.2940588                   -0.0071737522
               1.2968594                   -0.0072072678
               1.2996599                   -0.0072409238
               1.3024605                     -0.00727472
               1.3052611                   -0.0073086566
               1.3080616                   -0.0073427334
               1.3108622                   -0.0073769505
               1.3136627                   -0.0074113078
               1.3164633                   -0.0074458054
               1.3192639                   -0.0074804431
               1.3220644                   -0.0075152209
                1.324865                    -0.007550139
               1.3276655                   -0.0075851972
               1.3304661                   -0.0076203954
               1.3332667                   -0.0076557338
               1.3360672                   -0.0076912123
               1.3388678                   -0.0077268309
               1.3416683                   -0.0077625895
               1.3444689                   -0.0077984882
               1.3472695                   -0.0078345269
                 1.35007                   -0.0078707056
               1.3528706                   -0.0079070244
               1.3556711                   -0.0079434831
               1.3584717                   -0.0079800818
               1.3612723                   -0.0080168206
               1.3640728                   -0.0080536993
               1.3668734                    -0.008090718
               1.3696739                   -0.0081278766
               1.3724745                   -0.0081651752
               1.3752751                   -0.0082026138
               1.3780756                   -0.0082401923
               1.3808762                   -0.0082779107
               1.3836767                   -0.0083157691
               1.3864773                   -0.0083537675
               1.3892779                   -0.0083919058
               1.3920784                    -0.008430184
                1.394879                   -0.0084686021
               1.3976795                   -0.0085071602
               1.4004801                   -0.0085458583
               1.4032807                   -0.0085846963
               1.4060812                   -0.0086236742
               1.4088818                   -0.0086627921
               1.4116823                     -0.00870205
               1.4144829                   -0.0087414478
               1.4172835                   -0.0087809855
                1.420084                   -0.0088206633
               1.4228846                    -0.008860481
               1.4256851                   -0.0089004388
               1.4284857                   -0.0089405365
               1.4312863                   -0.0089807742
               1.4340868                    -0.009021152
               1.4368874                   -0.0090616698
               1.4396879                   -0.0091023276
               1.4424885                   -0.0091431255
               1.4452891                   -0.0091840634
               1.4480896                   -0.0092251415
               1.4508902                   -0.0092663596
               1.4536907                   -0.0093077178
               1.4564913                   -0.0093492162
               1.4592919                   -0.0093908548
               1.4620924                   -0.0094326335
                1.464893                   -0.0094745523
               1.4676935                   -0.0095166114
               1.4704941                   -0.0095588107
               1.4732947                   -0.0096011503
               1.4760952                   -0.0096436301
               1.4788958                   -0.0096862503
               1.4816963                   -0.0097290107
               1.4844969                   -0.0097719115
               1.4872975                   -0.0098149526
                1.490098                   -0.0098581341
               1.4928986                   -0.0099014561
               1.4956991                   -0.0099449185
               1.4984997                   -0.0099885213
               1.5013003                    -0.010032265
               1.5041008                    -0.010076149
               1.5069014                    -0.010120173
               1.5097019                    -0.010164338
               1.5125025                    -0.010208644
               1.5153031                     -0.01025309
               1.5181036                    -0.010297677
               1.5209042                    -0.010342405
               1.5237047                    -0.010387273
               1.5265053                    -0.010432283
               1.5293059                    -0.010477433
               1.5321064                    -0.010522724
                1.534907                    -0.010568156
               1.5377075                    -0.010613729
               1.5405081                    -0.010659442
               1.5433087                    -0.010705297
               1.5461092                    -0.010751293
               1.5489098                     -0.01079743
               1.5517103                    -0.010843709
               1.5545109                    -0.010890128
               1.5573115                    -0.010936689
                1.560112                    -0.010983391
               1.5629126                    -0.011030234
               1.5657131                    -0.011077219
               1.5685137                    -0.011124345
               1.5713143                    -0.011171612
               1.5741148                    -0.011219021
               1.5769154                    -0.011266572
               1.5797159                    -0.011314264
               1.5825165                    -0.011362098
               1.5853171                    -0.011410074
               1.5881176                    -0.011458192
               1.5909182                    -0.011506451
               1.5937187                    -0.011554853
               1.5965193                    -0.011603396
               1.5993199                    -0.011652081
               1.6021204                    -0.011700908
                1.604921                    -0.011749878
               1.6077215                     -0.01179899
               1.6105221                    -0.011848244
               1.6133227                     -0.01189764
               1.6161232                    -0.011947179
               1.6189238                     -0.01199686
               1.6217243                    -0.012046683
               1.6245249                    -0.012096649
               1.6273255                    -0.012146758
                1.630126                     -0.01219701
               1.6329266                    -0.012247404
               1.6357271                    -0.012297941
               1.6385277                    -0.012348621
               1.6413283                    -0.012399444
               1.6441288                     -0.01245041
               1.6469294                    -0.012501519
               1.6497299                    -0.012552771
               1.6525305                    -0.012604167
               1.6553311                    -0.012655706
               1.6581316                    -0.012707388
               1.6609322                    -0.012759214
               1.6637327                    -0.012811184
               1.6665333                    -0.012863297
               1.6693339                    -0.012915553
               1.6721344                    -0.012967954
                1.674935                    -0.013020498
               1.6777355                    -0.013073187
               1.6805361                    -0.013126019
               1.6833367                    -0.013178996
               1.6861372                    -0.013232117
               1.6889378                    -0.013285382
               1.6917383                    -0.013338791
               1.6945389                    -0.013392345
               1.6973395                    -0.013446044
                 1.70014                    -0.013499887
               1.7029406                    -0.013553875
               1.7057411                    -0.013608008
               1.7085417                    -0.013662285
               1.7113423                    -0.013716708
               1.7141428                    -0.013771276
               1.7169434                    -0.013825989
               1.7197439                    -0.013880847
               1.7225445                     -0.01393585
               1.7253451                       -0.013991
               1.7281456                    -0.014046294
               1.7309462                    -0.014101735
               1.7337467                    -0.014157321
               1.7365473                    -0.014213053
               1.7393479                    -0.014268931
               1.7421484                    -0.014324955
                1.744949                    -0.014381125
               1.7477495                    -0.014437442
               1.7505501                    -0.014493905
               1.7533507                    -0.014550514
               1.7561512                     -0.01460727
               1.7589518                    -0.014664173
               1.7617524                    -0.014721222
               1.7645529                    -0.014778419
               1.7673535                    -0.014835763
                1.770154                    -0.014893253
               1.7729546                    -0.014950891
               1.7757552                    -0.015008677
               1.7785557                    -0.015066609
               1.7813563                     -0.01512469
               1.7841568                    -0.015182918
               1.7869574                    -0.015241294
                1.789758                    -0.015299818
               1.7925585                     -0.01535849
               1.7953591                    -0.015417311
               1.7981596                    -0.015476279
               1.8009602                    -0.015535396
               1.8037608                    -0.015594662
               1.8065613                    -0.015654076
               1.8093619                    -0.015713639
               1.8121624                    -0.015773351
                1.814963                    -0.015833212
               1.8177636                    -0.015893223
               1.8205641                    -0.015953382
               1.8233647                    -0.016013691
               1.8261652                     -0.01607415
               1.8289658                    -0.016134758
               1.8317664                    -0.016195517
               1.8345669                    -0.016256425
               1.8373675                    -0.016317483
                1.840168                    -0.016378692
               1.8429686                    -0.016440051
               1.8457692                     -0.01650156
               1.8485697                    -0.016563221
               1.8513703                    -0.016625032
               1.8541708                    -0.016686994
               1.8569714                    -0.016749107
                1.859772                    -0.016811371
               1.8625725                    -0.016873787
               1.8653731                    -0.016936354
               1.8681736                    -0.016999073
               1.8709742                    -0.017061943
               1.8737748                    -0.017124966
               1.8765753                    -0.017188141
               1.8793759                    -0.017251468
               1.8821764                    -0.017314947
                1.884977                    -0.017378579
               1.8877776                    -0.017442364
               1.8905781                    -0.017506302
               1.8933787                    -0.017570392
               1.8961792                    -0.017634636
               1.8989798                    -0.017699033
               1.9017804                    -0.017763584
               1.9045809                    -0.017828288
               1.9073815                    -0.017893146
                1.910182                    -0.017958159
               1.9129826                    -0.018023325
               1.9157832                    -0.018088645
               1.9185837                    -0.018154121
               1.9213843                     -0.01821975
               1.9241848                    -0.018285535
               1.9269854                    -0.018351474
                1.929786                    -0.018417569
               1.9325865                    -0.018483819
               1.9353871                    -0.018550225
               1.9381876                    -0.018616786
               1.9409882                    -0.018683503
               1.9437888                    -0.018750376
               1.9465893                    -0.018817405
               1.9493899                     -0.01888459
               1.9521904                    -0.018951933
                1.954991                    -0.019019431
               1.9577916                    -0.019087087
               1.9605921                      -0.0191549
               1.9633927                     -0.01922287
               1.9661932                    -0.019290998
               1.9689938                    -0.019359283
               1.9717944                    -0.019427726
               1.9745949                    -0.019496327
               1.9773955                    -0.019565086
                1.980196                    -0.019634004
               1.9829966                     -0.01970308
               1.9857972                    -0.019772315
               1.9885977                    -0.019841709
               1.9913983                    -0.019911262
               1.9941988                    -0.019980974
               1.9969994                    -0.020050846
                  1.9998                    -0.020120878
               2.0026005                    -0.020191069
               2.0054011                    -0.020261421
               2.0082016                    -0.020331933
               2.0110022                    -0.020402606
               2.0138028                     -0.02047344
               2.0166033                    -0.020544434
               2.0194039                     -0.02061559
               2.0222044                    -0.020686906
                2.025005                    -0.020758385
               2.0278056                    -0.020830025
               2.0306061                    -0.020901828
               2.0334067                    -0.020973792
               2.0362072                    -0.021045919
               2.0390078                    -0.021118208
               2.0418084                    -0.021190661
               2.0446089                    -0.021263276
               2.0474095                    -0.021336055
                 2.05021                    -0.021408997
               2.0530106                    -0.021482103
               2.0558112                    -0.021555373
               2.0586117                    -0.021628807
               2.0614123                    -0.021702406
               2.0642128                    -0.021776169
               2.0670134                    -0.021850097
                2.069814                     -0.02192419
               2.0726145                    -0.021998448
               2.0754151                    -0.022072872
               2.0782156                    -0.022147461
               2.0810162                    -0.022222217
               2.0838168                    -0.022297139
               2.0866173                    -0.022372227
               2.0894179                    -0.022447482
               2.0922184                    -0.022522904
                2.095019                    -0.022598493
               2.0978196                    -0.022674249
               2.1006201                    -0.022750174
               2.1034207                    -0.022826266
               2.1062212                    -0.022902526
               2.1090218                    -0.022978954
               2.1118224                    -0.023055552
               2.1146229                    -0.023132318
               2.1174235                    -0.023209253
                2.120224                    -0.023286357
               2.1230246                    -0.023363632
               2.1258252                    -0.023441076
               2.1286257                     -0.02351869
               2.1314263                    -0.023596475
               2.1342268                     -0.02367443
               2.1370274                    -0.023752556
                2.139828                    -0.023830853
               2.1426285                    -0.023909322
               2.1454291                    -0.023987963
               2.1482296                    -0.024066775
               2.1510302                     -0.02414576
               2.1538308                    -0.024224917
               2.1566313                    -0.024304247
               2.1594319                     -0.02438375
               2.1622324                    -0.024463426
                2.165033                    -0.024543276
               2.1678336                      -0.0246233
               2.1706341                    -0.024703498
               2.1734347                     -0.02478387
               2.1762352                    -0.024864417
               2.1790358                    -0.024945138
               2.1818364                    -0.025026036
               2.1846369                    -0.025107108
               2.1874375                    -0.025188356
                2.190238                    -0.025269781
               2.1930386                    -0.025351382
               2.1958392                    -0.025433159
               2.1986397                    -0.025515114
               2.2014403                    -0.025597245
               2.2042408                    -0.025679554
               2.2070414                    -0.025762041
                2.209842                    -0.025844706
               2.2126425                     -0.02592755
               2.2154431                    -0.026010572
               2.2182436                    -0.026093773
               2.2210442                    -0.026177154
               2.2238448                    -0.026260714
               2.2266453                    -0.026344454
               2.2294459                    -0.026428374
               2.2322464                    -0.026512475
                2.235047                    -0.026596757
               2.2378476                    -0.026681219
               2.2406481                    -0.026765864
               2.2434487                     -0.02685069
               2.2462492                    -0.026935698
               2.2490498                    -0.027020888
               2.2518504                    -0.027106261
               2.2546509                    -0.027191817
               2.2574515                    -0.027277557
               2.2602521                     -0.02736348
               2.2630526                    -0.027449587
               2.2658532                    -0.027535879
               2.2686537                    -0.027622355
               2.2714543                    -0.027709016
               2.2742549                    -0.027795862
               2.2770554                    -0.027882894
                2.279856                    -0.027970112
               2.2826565                    -0.028057516
               2.2854571                    -0.028145107
               2.2882577                    -0.028232885
               2.2910582                     -0.02832085
               2.2938588                    -0.028409003
               2.2966593                    -0.028497344
               2.2994599                    -0.028585873
               2.3022605                    -0.028674591
                2.305061                    -0.028763497
               2.3078616                    -0.028852594
               2.3106621                    -0.028941879
               2.3134627                    -0.029031355
               2.3162633                    -0.029121022
               2.3190638                    -0.029210879
               2.3218644                    -0.029300927
               2.3246649                    -0.029391167
               2.3274655                    -0.029481599
               2.3302661                    -0.029572222
               2.3330666                    -0.029663039
               2.3358672                    -0.029754048
               2.3386677                    -0.029845251
               2.3414683                    -0.029936647
               2.3442689                    -0.030028237
               2.3470694                    -0.030120022
                 2.34987                    -0.030212002
               2.3526705                    -0.030304176
               2.3554711                    -0.030396547
               2.3582717                    -0.030489113
               2.3610722                    -0.030581875
               2.3638728                    -0.030674835
               2.3666733                    -0.030767991
               2.3694739                    -0.030861344
               2.3722745                    -0.030954896
                2.375075                    -0.031048646
               2.3778756                    -0.031142594
               2.3806761                    -0.031236741
               2.3834767                    -0.031331088
               2.3862773                    -0.031425634
               2.3890778                    -0.031520381
               2.3918784                    -0.031615328
               2.3946789                    -0.031710477
               2.3974795                    -0.031805826
               2.4002801                    -0.031901378
               2.4030806                    -0.031997131
               2.4058812                    -0.032093088
               2.4086817                    -0.032189247
               2.4114823                     -0.03228561
               2.4142829                    -0.032382176
               2.4170834                    -0.032478947
                2.419884                    -0.032575922
               2.4226845                    -0.032673103
               2.4254851                    -0.032770489
               2.4282857                    -0.032868081
               2.4310862                     -0.03296588
               2.4338868                    -0.033063885
               2.4366873                    -0.033162097
               2.4394879                    -0.033260518
               2.4422885                    -0.033359146
                2.445089                    -0.033457982
               2.4478896                    -0.033557028
               2.4506901                    -0.033656283
               2.4534907                    -0.033755748
               2.4562913                    -0.033855423
               2.4590918                    -0.033955309
               2.4618924                    -0.034055406
               2.4646929                    -0.034155715
               2.4674935                    -0.034256236
               2.4702941                    -0.034356969
               2.4730946                    -0.034457915
               2.4758952                    -0.034559075
               2.4786957                    -0.034660449
               2.4814963                    -0.034762037
               2.4842969                     -0.03486384
               2.4870974                    -0.034965858
                2.489898                    -0.035068091
               2.4926985                    -0.035170541
               2.4954991                    -0.035273208
               2.4982997                    -0.035376092
               2.5011002                    -0.035479193
               2.5039008                    -0.035582513
               2.5067013                    -0.035686051
               2.5095019                    -0.035789808
               2.5123025                    -0.035893785
                2.515103                    -0.035997982
               2.5179036                    -0.036102399
               2.5207041                    -0.036207037
               2.5235047                    -0.036311897
               2.5263053                    -0.036416979
               2.5291058                    -0.036522283
               2.5319064                     -0.03662781
               2.5347069                    -0.036733561
               2.5375075                    -0.036839536
               2.5403081                    -0.036945735
               2.5431086                    -0.037052159
               2.5459092                    -0.037158809
               2.5487097                    -0.037265684
               2.5515103                    -0.037372787
               2.5543109                    -0.037480116
               2.5571114                    -0.037587673
                2.559912                    -0.037695458
               2.5627125                    -0.037803471
               2.5655131                    -0.037911714
               2.5683137                    -0.038020186
               2.5711142                    -0.038128889
               2.5739148                    -0.038237822
               2.5767153                    -0.038346987
               2.5795159                    -0.038456383
               2.5823165                    -0.038566011
                2.585117                    -0.038675873
               2.5879176                    -0.038785968
               2.5907181                    -0.038896296
               2.5935187                     -0.03900686
               2.5963193                    -0.039117658
               2.5991198                    -0.039228692
               2.6019204                    -0.039339962
               2.6047209                    -0.039451469
               2.6075215                    -0.039563213
               2.6103221                    -0.039675195
               2.6131226                    -0.039787415
               2.6159232                    -0.039899874
               2.6187237                    -0.040012573
               2.6215243                    -0.040125512
               2.6243249                    -0.040238692
               2.6271254                    -0.040352113
                2.629926                    -0.040465775
               2.6327265                     -0.04057968
               2.6355271                    -0.040693828
               2.6383277                     -0.04080822
               2.6411282                    -0.040922856
               2.6439288                    -0.041037736
               2.6467293                    -0.041152862
               2.6495299                    -0.041268234
               2.6523305                    -0.041383853
                2.655131                    -0.041499718
               2.6579316                    -0.041615832
               2.6607321                    -0.041732193
               2.6635327                    -0.041848804
               2.6663333                    -0.041965664
               2.6691338                    -0.042082775
               2.6719344                    -0.042200136
               2.6747349                    -0.042317749
               2.6775355                    -0.042435614
               2.6803361                    -0.042553731
               2.6831366                    -0.042672102
               2.6859372                    -0.042790727
               2.6887377                    -0.042909606
               2.6915383                    -0.043028741
               2.6943389                    -0.043148131
               2.6971394                    -0.043267778
                 2.69994                    -0.043387682
               2.7027405                    -0.043507844
               2.7055411                    -0.043628265
               2.7083417                    -0.043748944
               2.7111422                    -0.043869883
               2.7139428                    -0.043991083
               2.7167433                    -0.044112543
               2.7195439                    -0.044234266
               2.7223445                     -0.04435625
                2.725145                    -0.044478498
               2.7279456                     -0.04460101
               2.7307461                    -0.044723786
               2.7335467                    -0.044846827
               2.7363473                    -0.044970134
               2.7391478                    -0.045093707
               2.7419484                    -0.045217547
               2.7447489                    -0.045341656
               2.7475495                    -0.045466033
               2.7503501                    -0.045590679
               2.7531506                    -0.045715595
               2.7559512                    -0.045840781
               2.7587518                    -0.045966239
               2.7615523                    -0.046091969
               2.7643529                    -0.046217972
               2.7671534                    -0.046344248
                2.769954                    -0.046470798
               2.7727546                    -0.046597624
               2.7755551                    -0.046724725
               2.7783557                    -0.046852102
               2.7811562                    -0.046979756
               2.7839568                    -0.047107689
               2.7867574                    -0.047235899
               2.7895579                    -0.047364389
               2.7923585                    -0.047493159
                2.795159                     -0.04762221
               2.7979596                    -0.047751543
               2.8007602                    -0.047881157
               2.8035607                    -0.048011055
               2.8063613                    -0.048141237
               2.8091618                    -0.048271703
               2.8119624                    -0.048402454
                2.814763                    -0.048533492
               2.8175635                    -0.048664816
               2.8203641                    -0.048796428
               2.8231646                    -0.048928328
               2.8259652                    -0.049060518
               2.8287658                    -0.049192998
               2.8315663                    -0.049325768
               2.8343669                     -0.04945883
               2.8371674                    -0.049592184
                2.839968                    -0.049725832
               2.8427686                    -0.049859773
               2.8455691                     -0.04999401
               2.8483697                    -0.050128541
               2.8511702                     -0.05026337
               2.8539708                    -0.050398495
               2.8567714                    -0.050533918
               2.8595719                    -0.050669641
               2.8623725                    -0.050805663
                2.865173                    -0.050941985
               2.8679736                    -0.051078609
               2.8707742                    -0.051215535
               2.8735747                    -0.051352764
               2.8763753                    -0.051490297
               2.8791758                    -0.051628135
               2.8819764                    -0.051766278
                2.884777                    -0.051904728
               2.8875775                    -0.052043485
               2.8903781                     -0.05218255
               2.8931786                    -0.052321924
               2.8959792                    -0.052461608
               2.8987798                    -0.052601603
               2.9015803                    -0.052741909
               2.9043809                    -0.052882528
               2.9071814                     -0.05302346
                2.909982                    -0.053164707
               2.9127826                    -0.053306269
               2.9155831                    -0.053448147
               2.9183837                    -0.053590342
               2.9211842                    -0.053732855
               2.9239848                    -0.053875687
               2.9267854                    -0.054018838
               2.9295859                     -0.05416231
               2.9323865                    -0.054306104
                2.935187                     -0.05445022
               2.9379876                     -0.05459466
               2.9407882                    -0.054739424
               2.9435887                    -0.054884513
               2.9463893                    -0.055029929
               2.9491898                    -0.055175671
               2.9519904                    -0.055321742
                2.954791                    -0.055468142
               2.9575915                    -0.055614872
               2.9603921                    -0.055761933
               2.9631926                    -0.055909326
               2.9659932                    -0.056057052
               2.9687938                    -0.056205112
               2.9715943                    -0.056353507
               2.9743949                    -0.056502238
               2.9771954                    -0.056651306
                2.979996                    -0.056800712
               2.9827966                    -0.056950456
               2.9855971                     -0.05710054
               2.9883977                    -0.057250966
               2.9911982                    -0.057401733
               2.9939988                    -0.057552843
               2.9967994                    -0.057704297
               2.9995999                    -0.057856096
               3.0024005                    -0.058008241
                3.005201                    -0.058160734
               3.0080016                    -0.058313574
               3.0108022                    -0.058466763
               3.0136027                    -0.058620303
               3.0164033                    -0.058774193
               3.0192038                    -0.058928436
               3.0220044                    -0.059083033
                3.024805                    -0.059237983
               3.0276055                     -0.05939329
               3.0304061                    -0.059548953
               3.0332066                    -0.059704973
               3.0360072                    -0.059861352
               3.0388078                    -0.060018091
               3.0416083                    -0.060175191
               3.0444089                    -0.060332653
               3.0472094                    -0.060490478
                 3.05001                    -0.060648668
               3.0528106                    -0.060807222
               3.0556111                    -0.060966143
               3.0584117                    -0.061125432
               3.0612122                     -0.06128509
               3.0640128                    -0.061445117
               3.0668134                    -0.061605515
               3.0696139                    -0.061766286
               3.0724145                     -0.06192743
                3.075215                    -0.062088948
               3.0780156                    -0.062250842
               3.0808162                    -0.062413113
               3.0836167                    -0.062575761
